year,group,n_5axis,mean_5axis,n_6dim,mean_6dim
2015,三大刊,181,9.182,181,69.752
2015,学术月刊（法学版块）,6,6.167,6,56.61
2015,交大法学,50,5.72,50,36.435
2016,三大刊,180,9.356,179,70.747
2016,学术月刊（法学版块）,7,3.714,7,52.003
2016,交大法学,49,7.041,49,43.662
2017,三大刊,184,9.31,184,68.42
2017,学术月刊（法学版块）,17,6.353,17,56.505
2017,交大法学,57,6.684,57,43.785
2018,三大刊,170,9.429,170,70.866
2018,学术月刊（法学版块）,17,5.941,17,56.568
2018,交大法学,54,7.63,54,45.075
2019,三大刊,168,9.488,168,73.83
2019,学术月刊（法学版块）,18,8.111,18,66.645
2019,交大法学,46,7.674,46,32.988
2020,三大刊,155,9.239,155,73.471
2020,学术月刊（法学版块）,17,8.235,17,63.339
2020,交大法学,45,7.733,45,41.112
2021,三大刊,175,9.606,175,72.926
2021,学术月刊（法学版块）,16,7.125,16,61.398
2021,交大法学,52,7.538,52,29.244
2022,三大刊,182,9.522,182,73.597
2022,学术月刊（法学版块）,11,8.909,11,57.961
2022,交大法学,66,7.652,66,33.216
2023,三大刊,175,9.629,175,74.811
2023,学术月刊（法学版块）,10,8.9,10,67.811
2023,交大法学,65,7.492,65,44.656
2024,三大刊,185,9.568,185,72.797
2024,学术月刊（法学版块）,13,5.923,13,60.427
2024,交大法学,64,8.312,64,55.977
2025,三大刊,165,9.745,164,74.892
2025,学术月刊（法学版块）,17,7.824,17,67.629
2025,交大法学,70,8.614,70,69.102
