year,group,n,mean,p25,p75
2015,三大刊,181,9.182,9.0,10.0
2015,学术月刊（法学版块）,6,6.167,4.75,8.75
2015,交大法学,50,5.72,0.25,9.0
2016,三大刊,180,9.356,9.0,10.0
2016,学术月刊（法学版块）,7,3.714,0.0,8.0
2016,交大法学,49,7.041,6.0,10.0
2017,三大刊,184,9.31,9.0,10.0
2017,学术月刊（法学版块）,17,6.353,4.0,9.0
2017,交大法学,57,6.684,3.0,10.0
2018,三大刊,170,9.429,9.25,10.0
2018,学术月刊（法学版块）,17,5.941,0.0,10.0
2018,交大法学,54,7.63,7.0,10.0
2019,三大刊,168,9.488,10.0,10.0
2019,学术月刊（法学版块）,18,8.111,8.25,10.0
2019,交大法学,46,7.674,7.0,10.0
2020,三大刊,155,9.239,10.0,10.0
2020,学术月刊（法学版块）,17,8.235,9.0,10.0
2020,交大法学,45,7.733,8.0,10.0
2021,三大刊,175,9.606,10.0,10.0
2021,学术月刊（法学版块）,16,7.125,5.0,10.0
2021,交大法学,52,7.538,7.0,10.0
2022,三大刊,182,9.522,10.0,10.0
2022,学术月刊（法学版块）,11,8.909,8.5,10.0
2022,交大法学,66,7.652,7.0,10.0
2023,三大刊,175,9.629,10.0,10.0
2023,学术月刊（法学版块）,10,8.9,9.0,10.0
2023,交大法学,65,7.492,7.0,10.0
2024,三大刊,185,9.568,10.0,10.0
2024,学术月刊（法学版块）,13,5.923,3.0,10.0
2024,交大法学,64,8.312,8.0,10.0
2025,三大刊,165,9.745,10.0,10.0
2025,学术月刊（法学版块）,17,7.824,7.0,10.0
2025,交大法学,70,8.614,8.0,10.0
