year,group,n,mean,p25,p75
2015,三大刊,181,69.752,59.75,80.09
2015,学术月刊（法学版块）,6,56.61,47.942,64.163
2015,交大法学,50,36.435,16.515,55.885
2016,三大刊,179,70.747,62.17,79.13
2016,学术月刊（法学版块）,7,52.003,37.165,71.99
2016,交大法学,49,43.662,21.47,66.05
2017,三大刊,184,68.42,58.727,80.63
2017,学术月刊（法学版块）,17,56.505,41.15,68.4
2017,交大法学,57,43.785,17.43,67.24
2018,三大刊,170,70.866,62.395,80.977
2018,学术月刊（法学版块）,17,56.568,46.61,65.47
2018,交大法学,54,45.075,17.46,64.045
2019,三大刊,168,73.83,68.123,83.245
2019,学术月刊（法学版块）,18,66.645,61.657,76.647
2019,交大法学,46,32.988,14.617,43.748
2020,三大刊,155,73.471,64.635,82.84
2020,学术月刊（法学版块）,17,63.339,58.22,73.78
2020,交大法学,45,41.112,15.44,65.99
2021,三大刊,175,72.926,66.42,84.395
2021,学术月刊（法学版块）,16,61.398,54.395,69.585
2021,交大法学,52,29.244,15.38,27.453
2022,三大刊,182,73.597,65.133,84.052
2022,学术月刊（法学版块）,11,57.961,49.545,66.415
2022,交大法学,66,33.216,17.485,41.758
2023,三大刊,175,74.811,69.585,83.785
2023,学术月刊（法学版块）,10,67.811,65.675,76.68
2023,交大法学,65,44.656,13.24,74.65
2024,三大刊,185,72.797,64.29,83.37
2024,学术月刊（法学版块）,13,60.427,54.35,66.22
2024,交大法学,64,55.977,36.073,79.43
2025,三大刊,164,74.892,65.895,86.062
2025,学术月刊（法学版块）,17,67.629,58.22,76.1
2025,交大法学,70,69.102,56.997,82.157
