编号,期刊,年份,题目,作者,机构,原分类,新分类(主),主分类概率,新分类(次),次分类概率,E1总分,五轴总分,强度
1860,法学研究,2025,诉权处分合同的程序法效果及其司法审查,朱禹臣[1],[1]中国人民大学法学院,民商法学,诉讼法学,0.9,民商法学,0.1,85.54,10,strong
1852,法学研究,2025,司法人工智能的理由模式及其功能限度,徐舒浩[1],[1]上海交通大学凯原法学院,诉讼法学,法学理论,0.9,诉讼法学,0.1,85.27,10,strong
1412,法学研究,2023,夫妻债务的清偿顺序,叶名怡[1],[1]上海财经大学法学院,诉讼法学,民商法学,0.95,诉讼法学,0.04,84.83,10,strong
1767,法学研究,2025,论驳回公诉制度及其在我国刑事诉讼中的引入,郭烁[1],[1]中国政法大学诉讼法学研究院,刑法学,诉讼法学,0.95,刑法学,0.04,84.67,10,strong
1223,法学研究,2022,保底信托效力认定的类型化,吴至诚[1],[1]中国人民大学民商事法律科学研究中心,法学理论,民商法学,0.95,经济法学,0.05,84.46,10,strong
634,中国法学,2019,组织法的诉讼构造:公司决议纠纷诉讼规则重构,丁勇[1],[1]华东政法大学,民商法学,诉讼法学,0.85,民商法学,0.15,84.33,10,strong
29,中国法学,2023,“枫桥经验”与当代中国纠纷解决机制结构变迁,彭小龙[1],[1]中国人民大学法学院,法学理论,诉讼法学,0.85,法学理论,0.15,84.12,10,strong
1061,中国社会科学,2020,行政许可的民法意义,"王轶[1,2]","[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,北京100872",宪法学与行政法学,民商法学,0.9,宪法学与行政法学,0.1,84.12,10,strong
951,中国社会科学,2020,以“生态恢复论”重构环境侵权救济体系,吕忠梅[1];窦海阳[2],"[1]清华大学法学院,北京100084;[2]中国社会科学院法学研究所,北京100720",环境与资源保护法学,民商法学,0.85,环境与资源保护法学,0.15,84,10,strong
1578,法学研究,2019,民法合宪性解释的事实条件,李海平[1],[1]吉林大学法学院,民商法学,宪法学与行政法学,0.85,民商法学,0.15,83.91,10,strong
1400,法学研究,2025,基本权利功能视野下平台经济不正当竞争认定范式重塑,张占江[1],[1]浙江大学光华法学院,宪法学与行政法学,经济法学,0.85,宪法学与行政法学,0.15,83.75,10,strong
1521,法学研究,2023,文体活动自甘冒险的风险分配与范围划定,申海恩[1],[1]中国政法大学民商经济法学院,法学理论,民商法学,0.95,法学理论,0.05,83.58,10,strong
696,中国法学,2023,行政违法性认识错误的性质与处理规则,马春晓[1],[1]南京大学法学院,刑法学,宪法学与行政法学,0.85,刑法学,0.15,83.45,10,strong
442,中国法学,2021,数据爬取的正当性及其边界,许可[1],[1]对外经济贸易大学法学院,民商法学,经济法学,0.85,民商法学,0.1,83.38,10,strong
1742,法学研究,2025,计算机信息系统作为财产的私法保护,张浩然[1],[1]中国社会科学院法学研究所,知识产权法学,民商法学,0.9,知识产权法学,0.08,83.32,10,strong
1878,中国法学,2025,“正当信赖”的衡平检验,沈岿[1],[1]北京大学法学院,宪法学与行政法学,民商法学,0.85,法学理论,0.15,83.21,10,strong
1171,法学研究,2022,义务范围理论下证券服务机构过失虚假陈述赔偿责任,洪国盛[1],[1]北京大学国际法学院,刑法学,民商法学,0.85,经济法学,0.15,82.88,9,strong
1621,法学研究,2016,涉诉信访治理的正当性与法治化——1978,2015年实践探索的分析,彭小龙-中国人民大学法学院,法学理论,诉讼法学,0.85,宪法学与行政法学,0.15,82.79,10,strong
295,中国法学,2024,国际民事诉讼管辖权的基础构造,宋晓[1],[1]南京大学法学院,诉讼法学,国际法学,0.9,诉讼法学,0.1,82.71,10,strong
1698,法学研究,2019,自然资源分出物的自由原始取得,张力[1],[1]西南政法大学民商法学院,环境与资源保护法学,民商法学,0.9,环境与资源保护法学,0.1,82.71,10,strong
1141,法学研究,2024,中国刑事司法证明“唯客观化”批判,熊晓彪[1],[1]中山大学法学院,刑法学,诉讼法学,0.95,刑法学,0.04,82.67,10,strong
1737,法学研究,2022,规划许可诉讼中邻人保护的权利基础与审查构造,赵宏[1],[1]中国政法大学法学院,民商法学,宪法学与行政法学,0.88,诉讼法学,0.1,82.55,10,strong
1741,法学研究,2022,警察行政介入民事领域的正当性及类型化调控,陈鹏[1],[1]厦门大学法学院,民商法学,宪法学与行政法学,0.85,民商法学,0.15,82.55,10,strong
1750,法学研究,2021,论刑事综合型证明模式及其对印证模式的超越,向燕,西南政法大学,刑法学,诉讼法学,0.95,刑法学,0.05,82.5,10,strong
1237,法学研究,2022,债务清理上破产法与执行法的关系,何欢[1],[1]上海财经大学法学院,诉讼法学,民商法学,0.85,诉讼法学,0.15,82.46,10,strong
1637,法学研究,2017,环境侵权因果关系类型化视角下的举证责任,陈伟,南京大学法学院,诉讼法学,民商法学,0.85,诉讼法学,0.1,82.46,10,strong
1449,法学研究,2019,工伤认定一般条款的建构路径,郑晓珊[1],[1]暨南大学法学院,经济法学,民商法学,0.9,宪法学与行政法学,0.08,82.42,10,strong
1787,法学研究,2021,跨法域合同纠纷中强制性规范的类型及认定规则,陈醇,浙江师范大学法政学院,民商法学,国际法学,0.9,民商法学,0.1,82.33,10,strong
357,中国法学,2023,平台用工的“劳动三分法”治理模式,王天玉[1],[1]中国社会科学院法学研究所,经济法学,民商法学,0.95,经济法学,0.05,82.21,10,strong
1202,法学研究,2015,以审判为中心的刑事诉讼制度改革,魏晓娜[1],[1]中国人民大学刑事法律科学研究中心,刑法学,诉讼法学,0.95,刑法学,0.04,82.21,10,strong
1685,法学研究,2016,缔约过程中说明义务的动态体系论,尚连杰,南京大学法学院,法学理论,民商法学,0.95,法学理论,0.05,82.21,10,strong
1311,法学研究,2016,刑法体系的合宪性调控——以“李斯特鸿沟”为视角,张翔,中国人民大学法学院教授,刑法学,宪法学与行政法学,0.85,刑法学,0.15,82.12,10,strong
852,中国法学,2022,论醉驾案件的程序出罪,史立梅[1],[1]北京师范大学刑事法律科学研究院,刑法学,诉讼法学,0.85,刑法学,0.15,82.08,10,strong
1470,法学研究,2024,我国协调国际平行诉讼的立场与方法——民事诉讼法第281条之体系解读,黄志慧[1],[1]中南财经政法大学法学院,诉讼法学,国际法学,0.85,诉讼法学,0.15,81.96,10,strong
1551,法学研究,2020,欺诈市场理论反思,耿利航[1],[1]中国政法大学民商经济法学院、制度学研究院,刑法学,民商法学,0.85,经济法学,0.15,81.96,10,strong
1738,法学研究,2023,规制大众传播媒介的回应权：功能延续与制度发展,朱虎[1],[1]中国人民大学民商事法律科学研究中心,法学理论,民商法学,0.9,宪法学与行政法学,0.1,81.88,10,strong
1180,法学研究,2019,乡村振兴背景下的宅基地权利制度重构,宋志红[1],[1]中共中央党校(国家行政学院)政法部,环境与资源保护法学,民商法学,0.88,经济法学,0.08,81.83,10,strong
1229,法学研究,2017,保障房租赁与买卖法律关系的性质,凌维慈,华东师范大学法学院,宪法学与行政法学,民商法学,0.95,宪法学与行政法学,0.05,81.75,10,strong
1231,法学研究,2016,信息网络传播行为的认定,刘文杰,中国传媒大学文法学部,民商法学,知识产权法学,0.95,民商法学,0.05,81.71,10,strong
1274,法学研究,2021,关联交易规制的世行范式评析与中国范式重构,汪青松,"重庆市人文社科重点研究基地""市场交易法律制度研究基地"";西南政法大学民商法学院",经济法学,民商法学,0.95,经济法学,0.05,81.71,10,strong
314,中国法学,2022,基于信任的自动化决策:算法解释权的原理反思与制度重构,丁晓东[1],[1]中国人民大学法学院,宪法学与行政法学,民商法学,0.8,经济法学,0.15,81.62,10,strong
1494,法学研究,2016,担保物权实现的程序标的：实践、识别与制度化,任重,清华大学法学院,民商法学,诉讼法学,0.85,民商法学,0.15,81.62,10,strong
1720,法学研究,2024,行政第三人的程序权利及其司法保护,赵宏[1],[1]北京大学法学院,法学理论,宪法学与行政法学,0.85,诉讼法学,0.15,81.54,9,strong
493,中国法学,2023,民事救济规范竞争关系的协调,李世刚[1],[1]复旦大学法学院,刑法学,民商法学,0.9,诉讼法学,0.1,81.38,10,strong
765,中国法学,2016,论国家所有权与行政权的关系,肖泽晟,南京大学法学院,民商法学,宪法学与行政法学,0.85,民商法学,0.15,81.38,10,strong
1557,法学研究,2020,比例原则位阶秩序的司法适用,蒋红珍[1],[1]上海交通大学凯原法学院,法学理论,宪法学与行政法学,0.9,法学理论,0.1,81.29,10,strong
453,中国法学,2024,新就业形态法律关系认定规则,娄宇[1],[1]中国政法大学民商经济法学院,经济法学,民商法学,0.95,经济法学,0.05,81.25,10,strong
1055,中国社会科学,2018,行政改革试验授权制度的法理分析,杨登峰[1],"[1]南京师范大学法学院教授、中国法治现代化研究院,南京210023",法学理论,宪法学与行政法学,0.9,法学理论,0.1,81.25,10,strong
1410,法学研究,2019,大数据有限排他权的基础理论,崔国斌[1],[1]清华大学法学院,知识产权法学,民商法学,0.85,知识产权法学,0.1,81.21,10,strong
808,中国法学,2020,论比例原则对立法权的约束及其界限,陈征[1],[1]中国政法大学法学院,诉讼法学,宪法学与行政法学,0.95,法学理论,0.05,81.12,10,strong
1719,法学研究,2024,行政撤诉之再诉禁止效力的构造与限度,黄锴[1],[1]浙江工业大学法学院,宪法学与行政法学,诉讼法学,0.9,宪法学与行政法学,0.1,81.04,10,strong
858,中国法学,2022,证据属性的中国法律之道,周洪波[1],[1]西南民族大学法学院,诉讼法学,法学理论,0.9,诉讼法学,0.1,80.96,10,strong
1405,法学研究,2020,增值税中性原则与民事制度,班天可[1],[1]复旦大学法学院,民商法学,经济法学,0.85,民商法学,0.15,80.92,10,strong
655,中国法学,2022,职场智能监控下的劳动者个人信息保护——以目的原则为中心,田野[1],[1]天津大学法学院,经济法学,民商法学,0.93,经济法学,0.05,80.88,10,strong
481,中国法学,2019,正当程序原则司法适用的正当性:回归规范立场,蒋红珍[1],[1]上海交通大学凯原法学院,诉讼法学,宪法学与行政法学,0.9,诉讼法学,0.1,80.83,10,strong
230,中国法学,2022,刑事诉讼事实形成机理探究,杨波[1],[1]吉林大学法学院,刑法学,诉讼法学,0.95,刑法学,0.04,80.75,10,strong
1679,法学研究,2023,算法透明层次论,安晋城[1],[1]中国政法大学民商经济法学院,宪法学与行政法学,经济法学,0.85,民商法学,0.1,80.71,10,strong
1745,法学研究,2017,认罪认罚何以从宽：误区与正解——反思效率优先的改革主张,左卫民,四川大学法学院,刑法学,诉讼法学,0.9,刑法学,0.1,80.71,10,strong
1421,法学研究,2019,宅基地使用权的制度困局与破解之维,陈小君[1],[1]广东外语外贸大学土地法制研究院,环境与资源保护法学,民商法学,0.88,宪法学与行政法学,0.08,80.62,10,strong
211,中国法学,2015,农村土地流转的合宪性分析,李忠夏,[1]山东大学法学院,环境与资源保护法学,宪法学与行政法学,0.88,民商法学,0.1,80.46,10,strong
530,中国法学,2015,法官如何说理：中国经验与普遍原理,凌斌[1],[1]北京大学法学院,诉讼法学,法学理论,0.9,诉讼法学,0.1,80.46,10,strong
1638,法学研究,2019,环境民事公益诉讼性质定位省思,巩固[1],[1]浙江大学光华法学院,环境与资源保护法学,诉讼法学,0.85,环境与资源保护法学,0.15,80.46,10,strong
1458,法学研究,2017,建设用地国有制的逻辑、挑战及变革,徐键,上海财经大学法学院,环境与资源保护法学,宪法学与行政法学,0.75,经济法学,0.15,80.38,10,strong
749,中国法学,2020,论农民进城落户后集体土地“三权”退出,高海[1],[1]安徽财经大学法学院,环境与资源保护法学,民商法学,0.9,经济法学,0.1,80.25,10,strong
1907,中国法学,2025,交易习惯的功能分型和适用方法,陈龙业[1],[1]最高人民法院,诉讼法学,民商法学,0.95,法学理论,0.04,80.17,10,strong
639,中国法学,2019,绿色原则与法经济学,贺剑[1],[1]北京大学法学院,环境与资源保护法学,民商法学,0.85,法学理论,0.15,80.08,10,strong
476,中国法学,2024,核定征收适用范围的延展及其反思,侯卓[1],[1]中南财经政法大学法学院,宪法学与行政法学,经济法学,0.88,宪法学与行政法学,0.12,80.04,10,strong
892,中国法学,2023,逮捕社会危险性条件中犯罪嫌疑人逃跑风险评估研究,张吉喜[1],[1]西南政法大学诉讼法与司法改革研究中心,刑法学,诉讼法学,0.95,刑法学,0.05,80.04,9,strong
1700,法学研究,2016,自然资源国家所有权的双重权能结构,叶韫平,上海财经大学法学院,环境与资源保护法学,民商法学,0.85,环境与资源保护法学,0.15,80.04,10,strong
900,中国法学,2020,重新发现“同案”:构建案件相似性的判断标准,孙海波[1],[1]中国政法大学比较法学研究院,诉讼法学,法学理论,0.9,诉讼法学,0.1,80,10,strong
1455,法学研究,2020,平台经济从业者社会保险法律制度的构建,娄宇[1],[1]中国政法大学民商经济法学院,经济法学,民商法学,0.95,经济法学,0.05,80,10,strong
