paper_id,paper,对象归属度,材料归属度,范畴自主度,解释目标归属度,体系映射度,五轴总分,强度,一致性,需复核,R2模式
1,664472307_孙远钊_2015_交大法学_《著作权法（修订草案送审稿）》修改与完善建议.md,2,2,1,2,2,9,strong,high,False,full
2,664472308_张红斌和左玉茹_2015_交大法学_《著作权法（修订草案送审稿）》评述.md,2,2,1,2,1,8,strong,high,False,skip
3,664472309_焦和平_2015_交大法学_发行权规定的现存问题与改进建议——兼评《著作权法（修订草案送审稿）》相关规定.md,2,2,1,2,1,8,strong,medium,False,full
4,664472310_徐彦冰_2015_交大法学_论软件修改权在第三方插件侵权中的适用——兼评《著作权法（修订草案送审稿）》第13条第3款第8项.md,2,2,1,2,1,8,strong,medium,False,full
5,664472311_熊琦_2015_交大法学_著作权公共许可的功能转型与立法应对.md,1,0,0,2,1,4,weak,medium,False,full
6,664472312_田雷_2015_交大法学_两种居留权案件——香港基本法第24条解释的第三条道路.md,2,2,2,2,2,10,strong,high,False,skip
7,664472313_陈道英_2015_交大法学_ICP对用户言论的法律责任——以表达自由为视角.md,2,2,1,2,2,9,strong,medium,False,full
8,664472314_陈洪杰_2015_交大法学_运动式治理中的法院功能嬗变（下）.md,2,2,2,2,2,10,strong,high,False,skip
9,664472315_卢恒飞_2015_交大法学_网络谣言如何扰乱了公共秩序？——兼论网络谣言型寻衅滋事罪的理解与适用.md,2,2,2,2,2,10,strong,high,False,skip
10,664472316_黄士洲_2015_交大法学_一般反避税立法实践的比较研究——以中国台湾地区、日本与德国税法相关规定与实例为主线.md,1,1,0,1,1,4,weak,medium,False,full
11,664472317_缪因知_2015_交大法学_政府性证券监管批判及与民事诉讼之权衡.md,2,2,1,2,2,9,strong,high,False,skip
12,664472318_马荣春_2015_交大法学_“主观的超过要素”：一个不适合的域外刑法学命题（下）.md,2,2,0,2,1,7,medium,medium,False,full
13,664472319_王贵松_2015_交大法学_依法行政原则对信赖利益的保护——益民公司诉河南省周口市政府等行政行为违法案分析.md,2,2,1,2,1,8,strong,medium,False,full
14,665273990_李忠夏_2015_交大法学_国家所有的宪法规范分析以国有财产和自然资源国家所有的类型分析为例.md,2,2,2,2,2,10,strong,high,False,skip
15,665273991_林彦_2015_交大法学_自然资源国家所有权的行使主体——以立法为中心的考察.md,2,2,2,2,2,10,strong,high,False,light
16,665273992_单平基和彭诚信_2015_交大法学_“国家所有权”研究的民法学争点.md,2,2,1,2,2,9,strong,medium,False,full
17,665273993_成协中_2015_交大法学_城市土地国家所有的实际效果与规范意义.md,2,2,2,2,2,10,strong,high,False,skip
18,665273994_程雪阳_2015_交大法学_国家所有权概念史的考察和反思.md,2,2,2,2,2,10,strong,high,False,skip
19,665273995_纪海龙_2015_交大法学_法教义学：力量与弱点.md,2,1,0,2,2,7,medium,medium,False,full
20,665273996_何欢_2015_交大法学_再议代表人越权对外担保的法律效力——基于公司担保法律规则的体系化解读.md,2,2,2,2,2,10,strong,high,False,skip
21,665273997_安·巴托尔(A Ba ow)和朱体正_2015_交大法学_特权商标：冠名权与公共设施（上）.md,0,0,0,0,0,0,absent,high,False,skip
22,665273998_李俊明_2015_交大法学_我国损害赔偿金可税性探讨.md,2,2,2,2,2,10,strong,high,False,full
23,665273999_洛塔尔·库伦(Lo ha Kuhle )和蔡桂生_2015_交大法学_论刑法与宪法的关系.md,0,0,0,0,0,0,absent,high,False,skip
24,665274000_解亘_2015_交大法学_著作权共有人的权利行使——评齐良芷、齐良末等诉江苏文艺出版社侵犯著作权纠纷案.md,2,2,1,2,1,8,strong,high,False,full
25,666062629_张五常_2015_交大法学_新制度经济学的来龙去脉.md,0,0,0,0,0,0,absent,high,False,skip
26,666062630_张五常等_2015_交大法学_解释社会：关于法学和新制度经济学的对话.md,2,2,0,1,0,5,medium,high,False,full
27,666062631_张永健_2015_交大法学_张五常《经济解释》对法律经济学方法论之启示.md,1,1,1,1,2,6,medium,high,False,full
28,666062632_简资修_2015_交大法学_法律作为合约安排.md,1,1,0,0,1,3,weak,medium,False,full
29,666062633_杨曜和高薇_2015_交大法学_好的科斯定理和好的法律经济学.md,0,0,0,0,0,0,absent,medium,False,full
30,666062634_徐国栋_2015_交大法学_《十二表法》的制定、灭失与还原（上）.md,0,0,0,0,0,0,absent,high,False,skip
31,666062635_贡塔·托依布纳和纪海龙_2015_交大法学_社会理论脉络中的法学与法律实践.md,0,0,0,0,0,0,absent,high,False,light
32,666062636_瞿灵敏_2015_交大法学_指导性案例类型化基础上的“参照”解读——以最高人民法院指导性案例为分析对象.md,2,2,2,2,2,10,strong,high,False,skip
33,666062637_郑杰_2015_交大法学_小产权房买卖合同的教义学分析.md,2,2,1,2,1,8,strong,medium,False,full
34,666062638_田山輝明和顾祝轩_2015_交大法学_日本成年监护制度——少子、老龄社会的法律制度.md,0,0,0,0,0,0,absent,high,False,skip
35,666062639_安·巴托尔和朱体正_2015_交大法学_特权商标：冠名权与公共设施（下）.md,0,0,0,0,0,0,absent,high,False,skip
