编号,期刊,年份,卷,期,题目,作者,作者机构,页数,主题词,分类-Q,分类-G,分类-D,分类-K,分类,duplicate_group,canonical_pid,analysis_included
1,中国法学,2025,000,2,AIGC版权判定的认知经济性分析,蒋舸[1],[1]清华大学法学院,21,人工智能生成内容;最低限度创造性标准;认知经济性;独立创作;邻接权,知识产权法学,民商法学,知识产权法学,知识产权法学,知识产权法学,,1,yes
2,中国法学,2016,,2,APEC成员合作反腐司法一体化机制构建,楼伯坤,浙江工商大学法学院,20,APEC成员合作反腐;司法一体化机制;《联合国反腐败公约》,国际法学,国际法学,国际法学,国际法学,国际法学,,2,yes
3,中国法学,2016,,5,CISG在中国国际商事仲裁中的适用,韩世远,清华大学法学院,21,联合国国际货物销售合同公约;国际商事仲裁;法源,国际法学,国际法学,国际法学,国际法学,国际法学,,3,yes
4,中国法学,2024,000,4,ESG对董事义务的改造：从商业判断到社会判断的进化,蒋大兴[1],[1]北京大学法学院,22,CSR;ESG;公司法;董事义务;商业判断;社会判断,民商法学,民商法学,民商法学,民商法学,民商法学,,4,yes
5,中国法学,2017,,6,“一带一路”争端解决制度研究,王贵国,浙江大学,16,一带一路 争端解决 调解 仲裁,国际法学,国际法学,国际法学,国际法学,国际法学,,5,yes
6,中国法学,2017,,6,“一带一路”多元争端解决中心构建的当下与未来,初北平,大连海事大学法学院,19,一带一路 争端解决 仲裁 司法协助,国际法学,国际法学,国际法学,国际法学,国际法学,,6,yes
7,中国法学,2017,,6,“一带一路”建设与公司准据法的确定,邢钢,北京师范大学法学院,19,一带一路 公司准据法 内部事务主义《涉外民事关系法律适用法》,国际法学,国际法学,国际法学,国际法学,国际法学,,7,yes
8,中国法学,2019,,6,“一带一路”背景下铁路提单与铁路运单的协同创新机制,杨临萍[1],[1]重庆市高级人民法院,20,铁路提单;铁路运单;物权凭证;运输凭证;协同创新,国际法学,国际法学,国际法学,国际法学,国际法学,,8,yes
9,中国法学,2023,000,6,“五湖四海”：政法系统干部交流机制的发生与形态,刘忠[1],[1]复旦大学法学院,19,干部交流;五湖四海;政法系统,党内法规学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,9,yes
10,中国法学,2018,,5,“人格物”的司法困境与理论突围,冷传莉,贵州大学法学院,19,人格物;人格利益;财产利益;人与物的二分模式;民事权利客体,民商法学,民商法学,民商法学,民商法学,民商法学,,10,yes
11,中国法学,2016,0,6,“以刑制罪”视阈下财产罪保护法益的再认识,徐光华,江西财经大学法学院,25,以刑制罪;所有权;占有权;量刑均衡,刑法学,刑法学,刑法学,刑法学,刑法学,,11,yes
12,中国法学,2023,000,4,“但书”出罪运行机制实证研究,夏伟[1],[1]中国政法大学刑事司法学院,23,“但书”;出罪机制;罪量因素;轻微犯罪;定罪免刑,刑法学,刑法学,刑法学,刑法学,刑法学,,12,yes
13,中国法学,2016,,5,“南海仲裁案”后续法律应对的关键问题研究,管建强,华东政法大学,21,南海仲裁案;强制仲裁;管辖权;领土争端,国际法学,国际法学,国际法学,国际法学,国际法学,,13,yes
14,中国法学,2016,,5,“南海仲裁案”最终裁决研判与我国的对策,邹立刚,海南大学,6,仲裁案;南海;裁决;研判;海洋权益;权利主张;国际法依据;不利影响,国际法学,国际法学,国际法学,国际法学,国际法学,,14,yes
15,中国法学,2016,,5,“南海仲裁案”有关岛礁的裁决与法律和事实不符,吴慧,国际关系学院,6,南海争端;裁决;仲裁案;法律;关岛;仲裁庭;仲裁程序;《公约》,国际法学,国际法学,国际法学,国际法学,国际法学,,15,yes
16,中国法学,2016,,5,“南海仲裁案”裁决缘何非法无效,马新民,外交部条约法律司,8,仲裁案;裁决;南海;适用法律;中国政府;法律依据;管辖权;仲裁庭,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,16,yes
17,中国法学,2016,0,1,“印证”证明模式反思与重塑：基于中国刑事错案的反思,左卫民,四川大学法学院,15,证明模式;“印证”模式;正当程序,刑法学,刑法学,刑法学,刑法学,刑法学,,17,yes
18,中国法学,2017,,1,“合宪性解释”理论辨析及其可能前景,夏正林,华南理工大学法学院,15,合宪性解释;违宪审查;独立审判;宪法价值实现,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,18,yes
19,中国法学,2016,,3,“土地属于集体所有”的规范属性,刘连泰,厦门大学法学院,19,土地集体所有;土地承包经营权;建设用地使用权,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,19,yes
20,中国法学,2018,,4,“契约＋非要式＋任意撤销权”：赠与的理论模式与规范分析,李永军,中国政法大学,18,赠与合同;要物合同;任意撤销权;债因;缔约过失责任,民商法学,民商法学,民商法学,民商法学,民商法学,,20,yes
21,中国法学,2023,000,6,“审执分离”本质与路径的再认识,张卫平[1],[1]烟台大学,21,审执分离;民事执行;民事审判权;执行裁决权;执行实施权,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,21,yes
22,中国法学,2019,,3,“居住权”之定位与规则设计,"鲁晓明[1,2]",[1]广东财经大学法学院;[2]广东财经大学法治与经济研究所,17,居住权;人役性;用益性,民商法学,民商法学,民商法学,民商法学,民商法学,,22,yes
23,中国法学,2021,0,6,"""应税所得""的法律建构与所得税法现代化",施正文[1],[1]中国政法大学民商经济法学院,21,应税所得;毛所得;所得;所得税;税法现代化,经济法学,经济法学,经济法学,经济法学,经济法学,,23,yes
24,中国法学,2020,,3,“开元六典”的继受传播及对中华法系的影响,胡兴东[1],[1]云南大学法学院,19,开元六典;中华法系;法制文明,法律史,法律史,法律史,法律史,法律史,,24,yes
25,中国法学,2023,000,3,“技术—组织”互动论视角下的中国智慧司法,郑智航[1],[1]山东大学法学院,19,互动机制;信息技术;智慧司法;组织结构;人工智能,数字法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,25,yes
26,中国法学,2024,000,5,“数字枫桥”的法治原理、模式与机制,杨力[1],[1]上海交通大学凯原法学院、智慧司法研究院,22,枫桥经验;数字枫桥;纠纷解决;源头治理,数字法学,诉讼法学,诉讼法学,民商法学,诉讼法学,,26,yes
27,中国法学,2022,000,4,“无效行政行为”制度的追溯与认定标准的完善,胡建淼[1],[1]中央党校(国家行政学院)专家工作室,21,无效行政行为;可撤销行政行为;越权行为;重大且明显违法;无效确认之诉,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,27,yes
28,中国法学,2019,,1,“最高国家权力机关”的权力边界,黄明涛[1],[1]武汉大学法学院,18,《宪法》第62条;最高国家权力机关;权力边界;权力监督,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,28,yes
29,中国法学,2023,000,6,“枫桥经验”与当代中国纠纷解决机制结构变迁,彭小龙[1],[1]中国人民大学法学院,22,枫桥经验;纠纷多元化解;纠纷解决机制结构;国家干预;社会治理,法学理论,法学理论,法学理论,法学理论,法学理论,,29,yes
30,中国法学,2018,,6,“枫桥经验”视野下的基层社会治理制度供给研究,汪世荣[1],[1]西北政法大学,18,村规民约;制度供给;基层治理;枫桥经验;制度体系,法学理论,法学理论,法学理论,法学理论,法学理论,,30,yes
