排名,论文ID,年份,期刊,题目,作者,分类,E1总分,E1标准差,E1总分±标准差,模型数
1,1260,2020,法学研究,公司决议瑕疵立法的范式转换与体系重构,丁勇[1],民商法学,88.525,2.94,88.525 ± 2.94,4
2,1307,2020,法学研究,刑民交叉实体问题的解决路径——“法律效果论”之展开,陈少青[1],刑法学,86.050,2.99,86.050 ± 2.99,4
3,1618,2020,法学研究,涉外代理关系准据法的确定,林强[1],民商法学,85.725,2.25,85.725 ± 2.25,4
4,407,2020,中国法学,我国飞跃上诉的制度构建:兼论有限三审制的改革路径,方斯远[1],诉讼法学,84.825,3.12,84.825 ± 3.12,4
5,1601,2020,法学研究,法律规范合宪性解释的方法论构造,刘召成[1],宪法学与行政法学,84.713,3.54,84.713 ± 3.54,4
6,1571,2020,法学研究,民法典中的动产和权利担保体系,龙俊[1],民商法学,84.350,5.82,84.350 ± 5.82,4
7,1683,2020,法学研究,组织体刑事责任论及其应用,黎宏[1],刑法学,84.287,5.01,84.287 ± 5.01,4
8,500,2020,中国法学,民事非法证据排除的规范解释与实务观察,周翠[1],诉讼法学,84.188,4.95,84.188 ± 4.95,4
9,1551,2020,法学研究,欺诈市场理论反思,耿利航[1],刑法学,84.088,4.35,84.088 ± 4.35,4
10,1303,2020,法学研究,刑事诉讼法时间效力规则研究,聂友伦[1],刑法学,84.075,4.89,84.075 ± 4.89,4
11,812,2020,中国法学,论民事诉讼中的法官调查取证权,袁中华[1],诉讼法学,83.987,5.62,83.987 ± 5.62,4
12,1586,2020,法学研究,法人依瑕疵决议所为行为之效力,徐银波[1],民商法学,83.950,6.76,83.950 ± 6.76,4
13,951,2020,中国社会科学,以“生态恢复论”重构环境侵权救济体系,吕忠梅[1];窦海阳[2],环境与资源保护法学,83.938,4.68,83.938 ± 4.68,4
14,1273,2020,法学研究,共犯人关系的再思考,张明楷[1],刑法学,83.738,5.45,83.738 ± 5.45,4
15,1474,2020,法学研究,我国民事自认的非约束性及其修正,段文波[1],诉讼法学,83.663,5.80,83.663 ± 5.80,4
16,1271,2020,法学研究,公私法协动视野下生态环境损害赔偿的理论构成,"冯洁语[1,2]",环境与资源保护法学,83.488,3.49,83.488 ± 3.49,4
17,815,2020,中国法学,论民法典后司法解释之命运,"黄忠[1,2]",民商法学,83.213,2.89,83.213 ± 2.89,4
18,1695,2020,法学研究,股东出资加速到期的理论证成,钱玉林[1],民商法学,82.862,7.60,82.862 ± 7.60,4
19,1829,2020,法学研究,非法人组织与其他组织的关系困局及其破解,谭启平[1],民商法学,82.712,3.48,82.712 ± 3.48,4
20,1694,2020,法学研究,股东会决议无效的公司法解释,"叶林[1,2]",民商法学,82.417,3.50,82.417 ± 3.50,3
21,1061,2020,中国社会科学,行政许可的民法意义,"王轶[1,2]",民商法学,82.387,7.61,82.387 ± 7.61,4
22,900,2020,中国法学,重新发现“同案”:构建案件相似性的判断标准,孙海波[1],诉讼法学,82.288,3.86,82.288 ± 3.86,4
23,1109,2020,法学研究,“对赌协议”的裁判路径及政策选择——基于PE/VC与公司对赌场景的分析,刘燕[1],民商法学,82.212,7.14,82.212 ± 7.14,4
24,205,2020,中国法学,共同市场支配地位的理论基础与规则构造,张晨颖[1],经济法学,82.187,5.37,82.187 ± 5.37,4
25,1557,2020,法学研究,比例原则位阶秩序的司法适用,蒋红珍[1],法学理论,81.913,6.64,81.913 ± 6.64,4
26,1622,2020,法学研究,混合共同担保人相互间无追偿权论,崔建远[1],民商法学,81.788,5.35,81.788 ± 5.35,4
27,1319,2020,法学研究,功能主义视域下的行政协议,徐键[1],民商法学,81.450,7.34,81.450 ± 7.34,4
28,165,2020,中国法学,保险人撤销权:保险法中的一个制度选择及其合理性追问,"于海纯[1,2]",民商法学,80.738,7.10,80.738 ± 7.10,4
29,248,2020,中国法学,医疗损害赔偿中原因力减责的法理及适用,郑永宽[1],刑法学,80.537,6.81,80.537 ± 6.81,4
30,499,2020,中国法学,民事诉讼证据失权制度的衰落与重建,吴泽勇[1],诉讼法学,80.425,6.71,80.425 ± 6.71,4
31,808,2020,中国法学,论比例原则对立法权的约束及其界限,陈征[1],诉讼法学,80.400,11.46,80.400 ± 11.46,4
32,514,2020,中国法学,民法典背景下合伙企业财产制度构造,赵玉[1],民商法学,80.275,7.91,80.275 ± 7.91,4
33,206,2020,中国法学,共犯处罚根据论的反思与修正:新混合惹起说的提出,王昭武[1],刑法学,80.250,10.14,80.250 ± 10.14,4
34,1204,2020,法学研究,以罪名为讨论平台的反思与纠正,丁胜明[1],刑法学,80.200,4.45,80.200 ± 4.45,4
35,1733,2020,法学研究,被追诉人认罪认罚的撤回,汪海燕[1],刑法学,80.050,6.88,80.050 ± 6.88,4
36,749,2020,中国法学,论农民进城落户后集体土地“三权”退出,高海[1],环境与资源保护法学,80.013,6.61,80.013 ± 6.61,4
37,1349,2020,法学研究,合宪性视角下的成片开发征收及其标准认定,程雪阳[1],宪法学与行政法学,80.000,7.59,80.000 ± 7.59,4
38,58,2020,中国法学,不阻止他人犯罪的刑事责任,黎宏[1],刑法学,79.925,6.45,79.925 ± 6.45,4
39,1272,2020,法学研究,公章抗辩的类型与处理,陈甦[1],民商法学,79.913,4.31,79.913 ± 4.31,4
40,1735,2020,法学研究,裁判文书援引学说的基本原理与规则建构,金枫梁[1],诉讼法学,79.887,9.45,79.887 ± 9.45,3
41,1669,2020,法学研究,私法中善意认定的规则体系,石一峰[1],民商法学,79.862,9.24,79.862 ± 9.24,4
42,1455,2020,法学研究,平台经济从业者社会保险法律制度的构建,娄宇[1],经济法学,79.837,5.01,79.837 ± 5.01,4
43,1687,2020,法学研究,网络平台的公共性及其实现——以电商平台的法律规制为视角,刘权[1],经济法学,79.725,2.07,79.725 ± 2.07,4
44,1405,2020,法学研究,增值税中性原则与民事制度,班天可[1],民商法学,79.612,10.50,79.612 ± 10.50,4
45,624,2020,中国法学,类似必要共同诉讼适用机制研究,"汤维建[1,2]",诉讼法学,79.562,8.17,79.562 ± 8.17,4
46,1341,2020,法学研究,司法审查中的滥用职权标准——以最高人民法院公报案例为观察对象,周佑勇[1],民商法学,79.537,3.21,79.537 ± 3.21,4
47,1099,2020,中国社会科学,重构罪刑法定原则,高巍[1],刑法学,79.350,5.87,79.350 ± 5.87,4
48,1191,2020,法学研究,人民法院改革取向的审视与思考,"顾培东[1,2]",诉讼法学,78.887,6.83,78.887 ± 6.83,4
49,164,2020,中国法学,保护规范理论的误解澄清与本土适用,赵宏[1],宪法学与行政法学,78.787,10.75,78.787 ± 10.75,4
50,1052,2020,中国社会科学,营利概念与中国法人法的体系效应,宋亚辉[1],民商法学,78.612,13.85,78.612 ± 13.85,4
51,1484,2020,法学研究,托底型回购合同的风险转嫁机理,王文胜[1],民商法学,78.488,7.22,78.488 ± 7.22,4
52,1558,2020,法学研究,比例原则的适用范围与限度,梅扬[1],法学理论,78.450,10.79,78.450 ± 10.79,4
53,1502,2020,法学研究,故意伤害案件中赔偿影响量刑的机制,"高通[1,2]",刑法学,78.412,4.86,78.412 ± 4.86,2
54,1498,2020,法学研究,支持理论下民事诉讼当事人法律意识的实证研究,"冯晶[1,2]",诉讼法学,78.312,4.92,78.312 ± 4.92,4
55,1726,2020,法学研究,行政诉讼给付判决的构造与功能,黄锴[1],宪法学与行政法学,78.200,13.43,78.200 ± 13.43,3
56,1468,2020,法学研究,我国刑事上诉制度多元化的建构路径——以认罪认罚案件为切入点,牟绿叶[1],刑法学,78.150,10.13,78.150 ± 10.13,4
57,170,2020,中国法学,债权转让中对债务人的延续性保护,"朱虎[1,2]",民商法学,77.875,8.47,77.875 ± 8.47,4
58,126,2020,中国法学,二审上诉问题重述:以认罪认罚案件为例,郭烁[1],刑法学,77.775,6.75,77.775 ± 6.75,4
59,1398,2020,法学研究,基本权利保护范围的界定,王锴[1],宪法学与行政法学,77.738,9.65,77.738 ± 9.65,4
60,1596,2020,法学研究,法律漏洞填补的司法论证,黄泽敏[1],法学理论,77.650,4.79,77.650 ± 4.79,4
61,1078,2020,中国社会科学,论数据用益权,申卫星[1],民商法学,77.500,8.94,77.500 ± 8.94,4
62,1466,2020,法学研究,成片开发与土地征收,黄忠[1],宪法学与行政法学,77.375,8.40,77.375 ± 8.40,4
63,844,2020,中国法学,论行政协议的司法审查,余凌云[1],宪法学与行政法学,77.350,5.92,77.350 ± 5.92,4
64,204,2020,中国法学,共同市场支配地位制度拓展适用于算法默示共谋研究,"时建中[1,2]",经济法学,77.050,9.88,77.050 ± 9.88,4
65,182,2020,中国法学,党政联合发文的信息公开困境与规则重塑:基于司法裁判的分析,张力[1],宪法学与行政法学,77.013,11.66,77.013 ± 11.66,4
66,708,2020,中国法学,认罪认罚从宽制度适用中的职权性逻辑和协商性逻辑,杜磊[1],刑法学,77.000,7.97,77.000 ± 7.97,3
67,687,2020,中国法学,行政罚款设定方式研究,张红[1],宪法学与行政法学,76.850,6.89,76.850 ± 6.89,4
68,1139,2020,法学研究,中国刑事专家辅助人向专家证人的角色转变,张保生[1];董帅[2],刑法学,76.737,7.86,76.737 ± 7.86,4
69,1500,2020,法学研究,收养法的社会化:从亲子法转向儿童法,邓丽[1],民商法学,76.262,8.54,76.262 ± 8.54,4
70,616,2020,中国法学,立法扩张与司法限缩:刑法谦抑性的展开,田宏杰[1],刑法学,76.200,6.38,76.200 ± 6.38,4
71,1771,2020,法学研究,证明责任制度本质重述,胡学军[1],诉讼法学,76.112,9.46,76.112 ± 9.46,4
72,372,2020,中国法学,我国保险法因果关系判断路径与规则,初北平[1],刑法学,76.000,6.47,76.000 ± 6.47,4
73,452,2020,中国法学,新出土金文所见西周罚金刑研究,雷安军[1],法律史,75.975,6.52,75.975 ± 6.52,4
74,564,2020,中国法学,物权编对四种他物权制度的完善和发展,"崔建远[1,2]",环境与资源保护法学,75.775,8.71,75.775 ± 8.71,4
75,1747,2020,法学研究,认罪认罚案件量刑建议研究,陈卫东[1],刑法学,75.612,4.55,75.612 ± 4.55,4
76,1552,2020,法学研究,欺诈市场理论反思,耿利航,民商法学,75.375,10.78,75.375 ± 10.78,4
77,1105,2020,法学研究,WTO《多方临时上诉仲裁安排》:基于仲裁的上诉替代,石静霞[1],国际法学,74.975,6.92,74.975 ± 6.92,4
78,1611,2020,法学研究,法理论:历史形成、学科属性及其中国化,雷磊[1],法学理论,74.875,7.07,74.875 ± 7.07,4
79,1671,2020,法学研究,秦及汉初逃亡犯罪的刑罚适用和处理程序,张传玺[1],刑法学,74.762,10.98,74.762 ± 10.98,4
80,1480,2020,法学研究,我国行政诉讼中的预防性保护,罗智敏[1],诉讼法学,74.750,7.59,74.750 ± 7.59,4
81,1265,2020,法学研究,公司治理中的控股股东及其法律规制,赵旭东[1],民商法学,74.713,8.14,74.713 ± 8.14,4
82,793,2020,中国法学,论我国行政法上的成本收益分析原则:理论证成与适用展开,郑雅方[1],宪法学与行政法学,74.700,6.34,74.700 ± 6.34,4
83,1077,2020,中国社会科学,论数字货币的法律属性,杨延超[1],民商法学,74.587,9.08,74.587 ± 9.08,4
84,1086,2020,中国社会科学,论算法的法律规制,"丁晓东[1,2]",民商法学,74.562,10.38,74.562 ± 10.38,3
85,127,2020,中国法学,互构关系中社区矫正对象与性质定位研究,郑丽萍[1],刑法学,74.500,6.55,74.500 ± 6.55,4
86,1179,2020,法学研究,乡村基层执法的空间制约与机制再造,陈柏峰[1],宪法学与行政法学,74.400,4.32,74.400 ± 4.32,4
87,1639,2020,法学研究,环境法体系中的自然保护地立法,吴凯杰[1],环境与资源保护法学,74.362,13.79,74.362 ± 13.79,4
88,1151,2020,法学研究,中国政法体制的规范性原理,黄文艺[1],党内法规学,74.175,10.87,74.175 ± 10.87,4
89,881,2020,中国法学,轻罪重判国家赔偿责任的证立及其类型化,金成波[1],刑法学,73.825,8.73,73.825 ± 8.73,4
90,155,2020,中国法学,传销犯罪的司法限缩与立法完善,"印波[1,2]",刑法学,73.713,15.40,73.713 ± 15.40,4
91,629,2020,中国法学,索债型非法拘禁罪扩张适用下对绑架罪的再认识,徐光华[1],刑法学,73.650,11.03,73.650 ± 11.03,4
92,1041,2020,中国社会科学,科研合同的功能性规制,胡明[1],民商法学,73.550,13.29,73.550 ± 13.29,4
93,410,2020,中国法学,执行时效期间的再改革,"霍海红[1,2]",诉讼法学,73.250,10.04,73.250 ± 10.04,4
94,1126,2020,法学研究,专家参与刑事司法的多元功能及其体系化,"陈如超[1,2,3]",刑法学,73.175,6.85,73.175 ± 6.85,4
95,1097,2020,中国社会科学,违约金酌减预测研究,屈茂辉[1],民商法学,73.075,9.81,73.075 ± 9.81,4
