编号,期刊,年份,题目,作者,作者机构,研究创新性,现状洞察度,理论建构力,逻辑连贯性,学术共识度,前瞻延展性,研究创新性_std,现状洞察度_std,理论建构力_std,逻辑连贯性_std,学术共识度_std,前瞻延展性_std,总分,平均标准差
1,中国法学,2025,AIGC版权判定的认知经济性分析,蒋舸[1],[1]清华大学法学院,73.2,87.5,86.5,87.2,91,74.5,21.3,3.3,1.7,1.5,2.0,6.7,83.33,6.08
2,中国法学,2016,APEC成员合作反腐司法一体化机制构建,楼伯坤,浙江工商大学法学院,36.2,45.5,63.5,75.5,68.5,62.5,2.5,13.7,16.4,6.6,4.0,5.3,58.62,8.08
3,中国法学,2016,CISG在中国国际商事仲裁中的适用,韩世远,清华大学法学院,58.5,85,63.5,82.8,78.8,75,21.4,8.9,1.7,3.6,7.5,4.1,73.92,7.87
4,中国法学,2024,ESG对董事义务的改造：从商业判断到社会判断的进化,蒋大兴[1],[1]北京大学法学院,62.5,68.5,47.5,80.8,76.2,64.5,9.5,4.0,9.9,6.4,5.1,4.9,66.67,6.63
5,中国法学,2017,“一带一路”争端解决制度研究,王贵国,浙江大学,36.2,41.2,45.8,77.5,66.5,64.2,2.5,12.5,8.3,9.6,7.0,4.8,55.25,7.45
6,中国法学,2017,“一带一路”多元争端解决中心构建的当下与未来,初北平,大连海事大学法学院,31.2,39.2,41.8,71.5,67,77.5,2.5,11.1,4.7,4.0,10.3,3.3,54.71,5.98
7,中国法学,2017,“一带一路”建设与公司准据法的确定,邢钢,北京师范大学法学院,55,69.2,61.8,81.8,83.2,73.8,14.1,7.8,12.5,6.9,1.5,3.5,70.79,7.72
8,中国法学,2019,“一带一路”背景下铁路提单与铁路运单的协同创新机制,杨临萍[1],[1]重庆市高级人民法院,49.2,53,73.8,76.2,85,78,11.1,17.3,11.5,9.0,2.4,0.0,69.21,8.55
9,中国法学,2023,“五湖四海”：政法系统干部交流机制的发生与形态,刘忠[1],[1]复旦大学法学院,76,65.5,50.5,80.8,78,76.2,9.2,9.5,8.4,3.4,4.3,8.5,71.17,7.22
10,中国法学,2018,“人格物”的司法困境与理论突围,冷传莉,贵州大学法学院,62.5,87,63.5,86,79.2,78.2,15.2,6.2,12.8,5.4,3.8,2.9,76.08,7.72
11,中国法学,2016,“以刑制罪”视阈下财产罪保护法益的再认识,徐光华,江西财经大学法学院,65.8,82,32.5,85.5,73,67.5,18.7,5.7,15.2,5.1,12.6,5.3,67.71,10.43
12,中国法学,2023,“但书”出罪运行机制实证研究,夏伟[1],[1]中国政法大学刑事司法学院,75.8,85.5,74,82.5,75.5,73.8,14.9,2.1,19.8,3.3,15.8,12.6,77.83,11.42
13,中国法学,2016,“南海仲裁案”后续法律应对的关键问题研究,管建强,华东政法大学,36.8,43.8,28.5,64.5,52,58.2,25.6,8.5,9.8,6.7,5.7,6.5,47.29,10.47
14,中国法学,2016,“南海仲裁案”最终裁决研判与我国的对策,邹立刚,海南大学,31.2,23.8,31.2,78,47.5,61.2,2.5,7.5,4.8,4.3,5.0,18.0,45.5,7.02
15,中国法学,2016,“南海仲裁案”有关岛礁的裁决与法律和事实不符,吴慧,国际关系学院,63.2,21.2,46.2,80.8,68,46.2,9.9,14.9,16.5,3.4,11.2,8.5,54.29,10.73
16,中国法学,2016,“南海仲裁案”裁决缘何非法无效,马新民,外交部条约法律司,33,15,38.8,79.5,33.8,20,2.4,14.7,12.5,7.0,23.9,12.9,36.67,12.23
17,中国法学,2016,“印证”证明模式反思与重塑：基于中国刑事错案的反思,左卫民,四川大学法学院,70,54.2,69.5,83.8,82.5,73.5,10.0,36.7,8.4,3.5,2.5,5.3,72.25,11.07
18,中国法学,2017,“合宪性解释”理论辨析及其可能前景,夏正林,华南理工大学法学院,63.8,67.5,40,84,78.5,71.8,19.5,8.8,12.4,4.9,4.5,8.3,67.58,9.73
19,中国法学,2016,“土地属于集体所有”的规范属性,刘连泰,厦门大学法学院,86.2,62,75,84.8,85.2,80,5.1,22.0,12.5,5.0,4.7,1.6,78.88,8.48
20,中国法学,2018,“契约＋非要式＋任意撤销权”：赠与的理论模式与规范分析,李永军,中国政法大学,61.8,81.2,85,85.5,85.8,55.8,16.2,6.4,8.9,5.0,2.9,9.4,75.83,8.13
21,中国法学,2023,“审执分离”本质与路径的再认识,张卫平[1],[1]烟台大学,87,84.2,85,90.2,88.5,81.8,2.4,4.9,8.7,3.5,1.3,2.4,86.12,3.87
22,中国法学,2019,“居住权”之定位与规则设计,"鲁晓明[1,2]",[1]广东财经大学法学院;[2]广东财经大学法治与经济研究所,70.5,79.2,81,89.5,85.5,77.8,22.1,3.4,6.2,5.0,0.6,2.1,80.58,6.57
23,中国法学,2021,"""应税所得""的法律建构与所得税法现代化",施正文[1],[1]中国政法大学民商经济法学院,57.2,73,79.2,85.8,87.5,76.2,25.1,2.0,5.6,5.9,3.8,3.5,76.5,7.65
