rank,pid,source,ccb_score,title
1,1865,E1+E2,94.32,股权转让中的出资义务承担——以组织法与行为法融贯为视角
2,1853,E1+E2,93.76,非典型电子证券转让的一般规则——以应收账款电子凭证为例
3,901,E1+E2,93.35,重构“禁止抽逃出资”规则的公司法理基础
4,1238,E1+E2,93.24,债权人代位权的类型化构造
5,319,E1+E2,93.21,基本权利私人间效力法理基础的澄清与重构
6,1023,E1+E2,93.18,法益修复与功能违法论
7,1493,E1+E2,93.12,抽逃出资规则及公司分配制度的系统性改造
8,1824,E1+E2,92.88,集体商标和证明商标保护体系的重构
9,1915,E1+E2,92.82,论规范归咎刑事责任范型
10,1168,E1+E2,92.56,为被告人利益抗诉与上诉不加刑原则之适用———以上诉理由之限制为中心
11,619,E1+E2,92.53,符合法律的宪法解释与宪法发展
12,1428,E1+E2,92.47,实体性查封优先权的理论证成及体系展开
13,1553,E1+E2,92.41,正当防卫中的退避义务
14,1260,E1+E2,92.21,公司决议瑕疵立法的范式转换与体系重构
15,1510,E1+E2,92.18,数字私力救济——基于远程控制网联物的权利实现
16,1501,E1+E2,92.12,改革型地方立法变通机制的反思与重构
17,1337,E1+E2,92.03,受贿犯罪的保护法益
18,409,E1+E2,91.94,执行价款分配模式转型之辨
19,1764,E1+E2,91.94,论选择性要素的认识错误
20,1194,E1+E2,91.88,从基本权理论看法律行为之阻却生效要件
21,1571,E1+E2,91.88,民法典中的动产和权利担保体系
22,1606,E1+E2,91.82,法条竞合与想象竞合的区分
23,1519,E1+E2,91.65,整体法秩序视野下被害人自陷风险的理论重塑
24,1779,E1+E2,91.65,财产犯罪中财产性利益的事实占有：以存款债权为中心
25,1854,E1,91.6,个人信息作为对待给付
26,1481,E1+E2,91.56,我国证券虚假陈述侵权责任规范模式之重构
27,1200,E1+E2,91.53,代理公开的例外类型和效果
28,1307,E1+E2,91.41,刑民交叉实体问题的解决路径——“法律效果论”之展开
29,1710,E1+E2,91.41,董事间披露义务的法律构造
30,1574,E1+E2,91.38,民法典所有权保留之担保权构成
31,1885,E1,91.31,论程序法上的犯罪事实
32,1711,E1+E2,91.29,虚假陈述比例连带责任的认定模式与体系展开
33,1864,E1+E2,91.26,生态环境法典的复合结构及其体系化适用
34,1909,E1+E2,91.0,论股东协议的组织法效力
35,1615,E1+E2,90.94,注意义务的规范本质与判断标准
36,861,E1+E2,90.88,诈骗罪重构:交易信息操纵理论之提倡
37,956,E1,90.81,公序良俗原则与诚实信用原则的区分
38,101,E1+E2,90.76,中国特色反腐败制度框架下贿赂犯罪法益的确定
39,946,E1+E2,90.65,"从""权能分离""到""权利行使"""
40,1602,E1,90.65,法律解释与法律续造的区分标准
41,1781,E1+E2,90.65,货币返还请求权规则的重构
42,1125,E1+E2,90.62,不真正不作为犯的边界
43,1763,E1+E2,90.62,论行政行为“明显不当”
44,1390,E1+E2,90.59,基于决定关系的证据客观性:概念、功能与理论定位
45,1266,E1+E2,90.56,公司法上社会责任条款司法化的逻辑与再塑
46,1218,E1+E2,90.5,侵害人视角下的正当防卫论
47,1575,E1+E2,90.41,民法典的精神损害赔偿体系——以功能主义为视角
48,1919,E1+E2,90.41,论合同失效——制度供给与自主知识体系
49,820,E1,90.35,论法律解释目标的逐案决定
50,21,E1+E2,90.32,“审执分离”本质与路径的再认识
51,882,E1+E2,90.29,过失犯远因溯责的规制路径：以渎职犯罪为中心
52,1277,E1+E2,90.29,具体的打击错误：从故意认定到故意归责
53,407,E1+E2,90.26,我国飞跃上诉的制度构建:兼论有限三审制的改革路径
54,1402,E1+E2,90.24,基本权利的国家保护:从客观价值到主观权利
55,634,E1+E2,90.15,组织法的诉讼构造:公司决议纠纷诉讼规则重构
56,317,E1+E2,90.12,基本原则与概括条款的区分:我国诚实信用与公序良俗的解释论构造
57,413,E1+E2,90.0,抢劫罪与敲诈勒索罪之界分：基于被害人的处分自由
58,1208,E1,90.0,优先股与普通股的利益分配
59,1450,E1+E2,89.97,已公开个人信息的刑法保护
60,1106,E1+E2,89.94,"""债权物权化""之范畴厘定"
61,1577,E1+E2,89.88,民法典编纂视野下合同法第402条、第403条的存废
62,1818,E1+E2,89.88,金钱 “占有即所有”原理批判及权利流转规则之重塑
63,1738,E1+E2,89.74,规制大众传播媒介的回应权：功能延续与制度发展
64,1821,E1+E2,89.74,防卫限度判断中的利益衡量
65,1546,E1,89.69,构成要件错误的本质:故意行为危险的偏离
66,772,E1,89.59,论基本权利私人间效力的范式转型
67,500,E1+E2,89.5,民事非法证据排除的规范解释与实务观察
68,357,E1+E2,89.47,平台用工的“劳动三分法”治理模式
69,1772,E1,89.47,诈骗罪中的处分意识:必要性及判别
70,1317,E1+E2,89.44,利他型人寿保险中投保人与受益人的对价关系
71,339,E1+E2,89.38,实行犯的对象错误与教唆犯的归责问题
72,683,E1,89.38,行政法上的不确定法律概念
73,1786,E1+E2,89.26,超越所有权保留的名实之争——选择性救济路径之证成
74,1098,E1+E2,89.24,"重构""法的渊源""范畴"
75,1223,E1+E2,89.24,保底信托效力认定的类型化
76,1556,E1+E2,89.24,死刑适用标准的体系化构造
77,1708,E1+E2,89.24,著作权法限制音乐专有许可的正当性
78,29,E1+E2,89.18,“枫桥经验”与当代中国纠纷解决机制结构变迁
79,1848,E1+E2,89.18,宪法秩序下如何安放法典——从“基础性法律”的适用切入
80,1842,E1+E2,89.15,电子游戏著作权保护中思想与表达的界分方法
81,1614,E1+E2,89.12,"注册商标使用中的""未改变显著特征"""
82,525,E1,89.09,法人功能性分类与结构性分类的兼容解释
83,1820,E1+E2,89.09,防卫过当的阶层式判断规则
84,1620,E1+E2,89.06,涉外知识产权归属的法律适用
85,1387,E1+E2,89.03,域外管辖的体系构造:立法管辖与司法管辖之界分
86,1321,E1+E2,89.0,动产担保物权的默示延伸
87,1373,E1+E2,89.0,国有自然资源资产产权行使机制的完善
88,1618,E1,88.99,涉外代理关系准据法的确定
89,1329,E1+E2,88.97,原情与抑情：从“崔三过失杀父案”看清代中期的礼教与司法
90,1676,E1,88.93,积极抗辩事由的证明责任：误解与澄清
91,1322,E1+E2,88.91,劳动关系认定的理论澄清与规范建构
92,1347,E1+E2,88.91,合同形式主义的演进及其影响———消费者保护的视角
93,1857,E1,88.91,论包括一罪的构造——以涉及同一罪名的情形为检验素材
94,1767,E1+E2,88.88,论驳回公诉制度及其在我国刑事诉讼中的引入
95,1330,E1+E2,88.82,反不正当竞争法一般条款的保护限度——以市场区分为视角
96,805,E1,88.74,论无权代理人赔偿责任的双层结构
97,1914,E1,88.74,财产犯罪中利益转移的要件重构：从物的占有到债的实现
98,1303,E1,88.72,刑事诉讼法时间效力规则研究
99,1727,E1+E2,88.71,行贿罪之“谋取不正当利益”的法理内涵
100,1658,E1,88.69,知情与行为相分离情形下法人知情归责的认定
101,1860,E1,88.69,诉权处分合同的程序法效果及其司法审查
102,1601,E1,88.65,法律规范合宪性解释的方法论构造
103,1841,E1+E2,88.62,前占有人原物返还请求权的理论与规范
104,295,E1,88.57,国际民事诉讼管辖权的基础构造
105,1765,E1,88.57,论防卫人的救助义务——自由分配视角下的正当防卫与先前行为
106,1448,E1+E2,88.56,履行行政职责的作为可能性
107,1689,E1,88.53,网络空间中犯罪帮助行为的类型化——来自司法判决的启发
108,489,E1,88.46,比例原则的普遍化与基本权利的性质
109,1145,E1,88.46,中国宪法上基本权利限制的形式要件
110,1858,E1,88.44,共同关系与共有类型
111,1296,E1,88.43,刑事证据标准与证明标准之异同
112,1412,E1,88.41,夫妻债务的清偿顺序
113,1586,E1,88.41,法人依瑕疵决议所为行为之效力
114,51,E1,88.34,三权分置下农地流转权利体系重构研究
115,1234,E1,88.32,受贿犯罪的保护法益
116,1427,E1,88.32,实体导向的必要共同诉讼：模式转换与制度重塑
117,1445,E1,88.32,对待给付风险负担的基本原则及其突破
118,1775,E1,88.28,"诚信原则修正功能的个案运用———以最高人民法院""华诚案""判决为分析对象"
119,1127,E1,88.26,业务侵占:贪污罪的解释方向
120,1285,E1,88.24,农民集体与农村集体经济组织关系之二元论
121,1685,E1+E2,88.24,缔约过程中说明义务的动态体系论
122,124,E1,88.21,事实因果与刑法中的结果归责
123,1012,E1+E2,88.18,标表型人格权的构造与人格权商品化批判
124,1401,E1,88.18,基本权利的功能体系与行政法治的进路
125,1572,E1,88.1,民法典体系下动产抵押权善意取得的规范续造
126,316,E1,88.09,基于领域性支配的保证人义务：反思与重塑
127,1258,E1,88.07,公司代表越权担保的制度逻辑解析以公司法第16条第1款为中心
128,1219,E1+E2,88.06,侵权责任与隐私权——责任人和行为人分离情形下的考量
129,1221,E1,88.03,侵犯公民个人信息罪“情节严重”的法理重述
130,1783,E1,88.03,贿赂犯罪治理策略的定量研究
131,565,E1+E2,88.0,犯罪圈与刑法修正的结构控制
132,1331,E1+E2,87.97,反不正当竞争法一般条款的司法适用模式
133,1844,E1,87.97,财产损害与盗窃罪认定
134,1729,E1,87.96,被动管理型信托的效力澄清
135,682,E1,87.94,行政法上权利观念的对立及其消解
136,442,E1,87.91,数据爬取的正当性及其边界
137,815,E1,87.91,论民法典后司法解释之命运
138,1769,E1,87.88,证据属性层次论——基于证据规则结构体系的理论反思
139,1486,E1,87.87,扩用无因管理相反请求权研究
140,830,E1,87.84,论破产程序中企业数据财产的处理
141,1852,E1+E2,87.79,司法人工智能的理由模式及其功能限度
142,1400,E1,87.78,基本权利功能视野下平台经济不正当竞争认定范式重塑
143,1897,E1,87.76,区分自然犯与法定犯的新标准：主体性法益/主体间性法益
144,1695,E1,87.72,股东出资加速到期的理论证成
145,1645,E1,87.71,申请保全错误损害赔偿责任：规范、定性及诉讼实现
146,951,E1+E2,87.68,以“生态恢复论”重构环境侵权救济体系
147,1730,E1,87.68,被害人因受骗而同意的法律效果
148,347,E1,87.66,宽容原则之上：法律解释与存疑有利于被告
149,1562,E1,87.65,民事诉讼中具体化责任的转移:法理、条件与程度
150,1739,E1,87.65,规制抽象危险犯的新路径:双层法益与比例原则的融合
151,418,E1,87.62,控制性详细规划的法律定位及控制
152,1120,E1+E2,87.62,一致性解释原则在国际贸易行政案件中的适用
153,1551,E1,87.6,欺诈市场理论反思
