group_type,group_name,n,score_mean,score_median,score_p25,score_p75,score_min,score_max,top_pid,top_title,top_score,top30_count,top60_count,top101_e2_candidate_count,top50_proportional_count,weighted_std_mean,round2_avg_std_mean,dimensions_converged,total_dimensions,dimension_convergence_ratio
category,党内法规学,21,51.47,52.44,42.13,57.12,26.79,86.24,180,党内法规的概念分析,86.24,0,0,5,1,8.181,8.072,78,126,0.619
category,刑法学,305,77.432,78.93,73.03,85.78,42.19,93.29,1885,论程序法上的犯罪事实,93.29,10,20,27,9,7.688,6.94,1329,1830,0.726
category,国际法学,79,61.58,60.76,49.47,74.13,28.57,91.24,1618,涉外代理关系准据法的确定,91.24,0,1,5,2,8.149,7.512,314,474,0.662
category,宪法学与行政法学,276,73.414,77.14,65.38,83.07,28.97,93.21,319,基本权利私人间效力法理基础的澄清与重构,93.21,3,7,7,6,7.947,7.119,1173,1656,0.708
category,民商法学,469,78.402,80.53,75.0,85.06,31.62,94.32,1865,股权转让中的出资义务承担——以组织法与行为法融贯为视角,94.32,13,22,34,12,7.744,6.74,2086,2814,0.741
category,法学理论,234,60.899,60.055,48.71,75.7,22.13,90.79,820,论法律解释目标的逐案决定,90.79,0,3,6,6,8.233,7.766,896,1404,0.638
category,法律史,66,61.303,62.76,50.65,72.44,32.74,88.97,1329,原情与抑情：从“崔三过失杀父案”看清代中期的礼教与司法,88.97,0,0,5,2,8.607,8.342,238,396,0.601
category,环境与资源保护法学,82,72.395,76.23,64.72,81.54,38.25,91.26,1864,生态环境法典的复合结构及其体系化适用,91.26,0,1,5,2,8.518,7.668,328,492,0.667
category,知识产权法学,67,77.748,78.97,75.24,84.31,45.22,92.88,1824,集体商标和证明商标保护体系的重构,92.88,1,1,5,2,8.343,7.038,291,402,0.724
category,经济法学,77,70.843,73.65,62.43,80.35,37.32,89.47,357,平台用工的“劳动三分法”治理模式,89.47,0,0,5,2,8.388,7.357,325,462,0.703
category,诉讼法学,244,71.451,75.0,64.0,81.29,28.85,92.56,1168,为被告人利益抗诉与上诉不加刑原则之适用———以上诉理由之限制为中心,92.56,3,5,6,6,8.47,7.602,1005,1464,0.686
journal,中国法学,954,69.691,74.685,59.57,80.96,22.13,93.35,901,重构“禁止抽逃出资”规则的公司法理基础,93.35,6,18,25,11,8.321,7.587,3868,5724,0.676
journal,中国社会科学,199,67.531,70.49,56.71,79.9,31.43,93.18,1023,法益修复与功能违法论,93.18,2,3,8,2,8.212,7.575,796,1194,0.667
journal,法学研究,767,76.926,79.87,72.76,85.78,25.59,94.32,1865,股权转让中的出资义务承担——以组织法与行为法融贯为视角,94.32,22,39,77,37,7.663,6.714,3399,4602,0.739
year,2015,181,69.784,73.41,59.75,80.09,28.16,93.35,901,重构“禁止抽逃出资”规则的公司法理基础,93.35,2,4,5,2,8.741,7.985,705,1086,0.649
year,2016,180,70.701,73.595,62.15,79.1,35.04,91.82,1606,法条竞合与想象竞合的区分,91.82,1,3,6,3,8.842,7.86,728,1080,0.674
year,2017,184,68.449,74.71,58.75,80.62,22.13,90.12,489,比例原则的普遍化与基本权利的性质,90.12,0,2,5,0,8.571,7.931,698,1104,0.632
year,2018,170,70.962,75.145,62.47,81.03,31.43,92.03,1337,受贿犯罪的保护法益,92.03,1,3,5,2,8.119,7.309,709,1020,0.695
year,2019,168,73.891,78.155,68.41,83.22,26.32,91.88,1194,从基本权理论看法律行为之阻却生效要件,91.88,2,5,11,4,7.994,6.994,717,1008,0.711
year,2020,155,73.495,77.19,63.71,82.84,40.03,92.21,1260,公司决议瑕疵立法的范式转换与体系重构,92.21,3,5,9,5,8.077,7.292,663,930,0.713
year,2021,175,72.999,78.29,67.18,84.59,24.63,93.12,1493,抽逃出资规则及公司分配制度的系统性改造,93.12,1,7,12,5,7.369,6.709,769,1050,0.732
year,2022,182,73.649,78.635,64.93,84.09,29.04,92.56,1168,为被告人利益抗诉与上诉不加刑原则之适用———以上诉理由之限制为中心,92.56,4,6,12,6,7.834,6.975,787,1092,0.721
year,2023,175,74.888,78.43,70.01,83.75,30.94,93.21,319,基本权利私人间效力法理基础的澄清与重构,93.21,4,7,16,8,7.801,6.928,750,1050,0.714
year,2024,185,72.874,76.57,64.29,83.53,28.85,93.24,1238,债权人代位权的类型化构造,93.24,5,9,14,7,7.71,6.923,799,1110,0.72
year,2025,165,74.788,78.37,65.88,86.16,38.82,94.32,1865,股权转让中的出资义务承担——以组织法与行为法融贯为视角,94.32,7,9,15,8,7.378,6.614,738,990,0.745
