pid,rank,title,author,journal,year,category,weighted_score,weighted_std,source,e2_override,e3_merged,round1_avg_std,round2_avg_std,std_improvement,round1_max_std,round2_max_std,dimensions_converged,total_dimensions,round1_err_category,top30,top60,top101_e2_candidate,top101_rank,top101_score,top101_weighted_std,top101_source,top101_reason,top50_proportional,top50_rank,top50_score,top50_weighted_std,problem_originality_avg,problem_originality_std,problem_originality_method,literature_insight_avg,literature_insight_std,literature_insight_method,analytical_framework_avg,analytical_framework_std,analytical_framework_method,logical_coherence_avg,logical_coherence_std,logical_coherence_method,conclusion_consensus_avg,conclusion_consensus_std,conclusion_consensus_method,forward_extension_avg,forward_extension_std,forward_extension_method
1865,1,股权转让中的出资义务承担——以组织法与行为法融贯为视角,李宇[1],法学研究,2025,民商法学,94.32,5.11,E1+E2,True,,8.9,4.55,4.35,17.5,11.6,5,6,,1,1,1,1,94.32,5.11,E1+E2,top60,1,1,94.32,5.11,88.0,8.99,median(8) [E1+E2],92.5,2.72,median(8) [E1+E2],85.5,6.25,median(8) [E1+E2],91.0,2.23,median(8) [E1+E2],89.0,3.38,median(8) [E1+E2],82.0,2.9,median(8) [E1+E2]
1853,2,非典型电子证券转让的一般规则——以应收账款电子凭证为例,武腾[1],法学研究,2025,民商法学,93.76,5.95,E1+E2,True,,9.83,4.53,5.3,20.9,19.6,5,6,,1,1,1,2,93.76,5.95,E1+E2,top60,1,2,93.76,5.95,86.5,4.72,median(8) [E1+E2],92.0,15.7,median(8) [E1+E2],88.0,3.55,median(8) [E1+E2],89.5,2.97,median(8) [E1+E2],88.0,1.6,median(8) [E1+E2],83.5,2.14,median(6) [E1+E2]
901,3,重构“禁止抽逃出资”规则的公司法理基础,刘燕,中国法学,2015,民商法学,93.35,6.34,E1+E2,True,,9.67,4.83,4.83,19.5,17.5,5,6,,1,1,1,3,93.35,6.34,E1+E2,top60,1,3,93.35,6.34,85.0,13.54,median(8) [E1+E2],89.0,4.21,median(8) [E1+E2],92.0,3.45,median(8) [E1+E2],90.0,2.72,median(8) [E1+E2],88.0,2.43,median(8) [E1+E2],82.0,2.56,median(8) [E1+E2]
1885,4,论程序法上的犯罪事实,赵常成[1],中国法学,2025,刑法学,93.29,3.39,E1+E2+E3,True,problem_originality,9.35,3.12,6.23,24.3,4.9,6,6,,1,1,0,,,,,,0,,,,88.0,3.83,median(12) [E1+E2+E3],87.5,4.47,median(8) [E1+E2],89.0,2.8,median(8) [E1+E2],89.0,2.56,median(8) [E1+E2],85.0,2.83,median(8) [E1+E2],80.0,2.66,median(8) [E1+E2]
1238,5,债权人代位权的类型化构造,俞彦韬[1],法学研究,2024,民商法学,93.24,3.47,E1+E2,True,,6.23,2.55,3.68,7.5,4.2,6,6,,1,1,1,4,93.24,3.47,E1+E2,top60,1,4,93.24,3.47,85.5,4.61,median(8) [E1+E2],88.0,4.65,median(8) [E1+E2],89.0,1.91,median(8) [E1+E2],92.0,2.51,median(8) [E1+E2],90.0,2.5,median(8) [E1+E2],80.0,2.33,median(8) [E1+E2]
319,6,基本权利私人间效力法理基础的澄清与重构,杨登杰[1],中国法学,2023,宪法学与行政法学,93.21,10.1,E1+E2,True,,10.23,5.18,5.05,27.3,15.3,5,6,,1,1,1,5,93.21,10.1,E1+E2,top60,1,5,93.21,10.1,90.0,22.91,median(8) [E1+E2],88.0,2.92,median(8) [E1+E2],82.5,12.74,median(8) [E1+E2],90.0,1.85,median(8) [E1+E2],88.0,1.89,median(8) [E1+E2],81.0,3.42,median(8) [E1+E2]
1023,7,法益修复与功能违法论,杜宇[1],中国社会科学,2024,刑法学,93.18,5.53,E1+E2,True,,7.97,5.05,2.92,17.3,16.5,5,6,,1,1,1,6,93.18,5.53,E1+E2,top60,1,6,93.18,5.53,88.0,11.98,median(8) [E1+E2],88.0,4.31,median(8) [E1+E2],89.0,2.36,median(8) [E1+E2],88.0,1.55,median(8) [E1+E2],88.5,2.87,median(8) [E1+E2],84.0,2.42,median(8) [E1+E2]
1493,8,抽逃出资规则及公司分配制度的系统性改造,王军[1],法学研究,2021,民商法学,93.12,6.58,E1+E2,True,,11.93,3.52,8.42,24.5,9.1,5,6,,1,1,1,7,93.12,6.58,E1+E2,top60,1,7,93.12,6.58,87.5,7.78,median(8) [E1+E2],91.0,5.42,median(8) [E1+E2],83.0,6.32,median(8) [E1+E2],90.0,2.43,median(8) [E1+E2],88.0,16.27,median(8) [E1+E2],85.0,1.93,median(8) [E1+E2]
1824,9,集体商标和证明商标保护体系的重构,王迁[1],法学研究,2025,知识产权法学,92.88,2.94,E1+E2,True,,8.67,3.0,5.67,15.4,6.7,6,6,,1,1,1,8,92.88,2.94,E1+E2,top60,1,8,92.88,2.94,87.0,1.39,median(8) [E1+E2],89.0,3.66,median(8) [E1+E2],88.0,6.36,median(8) [E1+E2],88.0,2.83,median(8) [E1+E2],89.0,1.77,median(8) [E1+E2],84.0,1.92,median(8) [E1+E2]
1915,10,论规范归咎刑事责任范型,王志远[1],中国法学,2025,刑法学,92.82,5.08,E1+E2,True,,10.83,5.33,5.5,17.5,6.5,6,6,,1,1,1,9,92.82,5.08,E1+E2,top60,1,9,92.82,5.08,88.0,4.57,median(8) [E1+E2],88.5,4.49,median(8) [E1+E2],85.0,5.29,median(8) [E1+E2],89.0,6.43,median(8) [E1+E2],85.0,5.68,median(8) [E1+E2],83.5,3.2,median(8) [E1+E2]
1168,11,为被告人利益抗诉与上诉不加刑原则之适用———以上诉理由之限制为中心,郭烁[1],法学研究,2022,诉讼法学,92.56,4.85,E1+E2,True,,12.6,5.57,7.03,20.5,16.1,5,6,,1,1,1,10,92.56,4.85,E1+E2,top60,1,10,92.56,4.85,88.0,4.55,median(8) [E1+E2],85.0,3.51,median(8) [E1+E2],85.5,4.88,median(8) [E1+E2],91.0,3.18,median(8) [E1+E2],88.0,12.24,median(8) [E1+E2],83.5,3.8,median(8) [E1+E2]
619,12,符合法律的宪法解释与宪法发展,杜强强[1],中国法学,2022,宪法学与行政法学,92.53,3.5,E1+E2,True,,8.87,2.73,6.13,13.4,5.4,6,6,,1,1,1,11,92.53,3.5,E1+E2,top60,1,11,92.53,3.5,86.5,3.66,median(8) [E1+E2],87.5,3.58,median(8) [E1+E2],87.0,5.63,median(8) [E1+E2],89.5,1.41,median(8) [E1+E2],88.0,4.0,median(8) [E1+E2],85.0,3.18,median(8) [E1+E2]
1428,13,实体性查封优先权的理论证成及体系展开,马强伟[1],法学研究,2025,诉讼法学,92.47,2.67,E1+E2,True,,7.77,2.17,5.6,17.0,4.3,6,6,,1,1,1,12,92.47,2.67,E1+E2,top60,1,12,92.47,2.67,85.0,1.36,median(8) [E1+E2],88.0,3.07,median(8) [E1+E2],91.0,5.99,median(8) [E1+E2],88,2.15,median(7) [E1+E2],90.0,2.07,median(8) [E1+E2],84.0,2.23,median(8) [E1+E2]
1553,14,正当防卫中的退避义务,江溯[1],法学研究,2024,刑法学,92.41,3.15,E1+E2,True,,7.27,2.3,4.97,11.2,7.1,6,6,,1,1,1,13,92.41,3.15,E1+E2,top60,1,13,92.41,3.15,85.0,5.5,median(8) [E1+E2],90.0,2.2,median(8) [E1+E2],88.0,3.12,median(8) [E1+E2],88.0,1.46,median(8) [E1+E2],88.0,1.92,median(8) [E1+E2],80.0,2.1,median(8) [E1+E2]
1260,15,公司决议瑕疵立法的范式转换与体系重构,丁勇[1],法学研究,2020,民商法学,92.21,2.78,E1+E2,True,,8.33,2.67,5.67,10.1,4.0,6,6,,1,1,1,14,92.21,2.78,E1+E2,top60,1,14,92.21,2.78,86.5,2.38,median(8) [E1+E2],92.0,3.59,median(8) [E1+E2],92.5,2.38,median(8) [E1+E2],88.0,3.02,median(8) [E1+E2],89.0,2.76,median(8) [E1+E2],78.0,2.14,median(8) [E1+E2]
1510,16,数字私力救济——基于远程控制网联物的权利实现,王琦[1],法学研究,2023,民商法学,92.18,3.9,E1+E2,True,,11.0,3.33,7.67,36.4,6.2,6,6,,1,1,1,15,92.18,3.9,E1+E2,top60,1,15,92.18,3.9,90.0,5.99,median(8) [E1+E2],90.0,3.2,median(8) [E1+E2],88,4.43,median(7) [E1+E2],88.0,1.77,median(8) [E1+E2],89.5,1.31,median(8) [E1+E2],77.5,6.3,median(8) [E1+E2]
1501,17,改革型地方立法变通机制的反思与重构,王建学[1],法学研究,2022,宪法学与行政法学,92.12,6.01,E1+E2,True,,8.1,2.75,5.35,13.2,8.6,5,6,,1,1,1,16,92.12,6.01,E1+E2,top60,1,16,92.12,6.01,88.0,13.45,median(8) [E1+E2],83.5,3.12,median(8) [E1+E2],85.0,3.28,median(8) [E1+E2],91.0,2.56,median(8) [E1+E2],88,2.44,median(7) [E1+E2],85.0,2.1,median(8) [E1+E2]
1337,18,受贿犯罪的保护法益,张明楷,法学研究,2018,刑法学,92.03,3.78,E1+E2,True,,7.58,3.37,4.22,13.4,8.7,5,6,,1,1,1,17,92.03,3.78,E1+E2,top60,1,17,92.03,3.78,89.0,6.16,median(8) [E1+E2],90.0,1.91,median(8) [E1+E2],86.5,3.89,median(8) [E1+E2],90.0,2.5,median(8) [E1+E2],90.5,1.69,median(8) [E1+E2],72.0,5.87,median(8) [E1+E2]
409,19,执行价款分配模式转型之辨,陈杭平[1],中国法学,2023,诉讼法学,91.94,2.71,E1+E2,True,,9.72,2.35,7.37,17.6,3.6,6,6,,1,1,1,19,91.94,2.71,E1+E2,top60,1,19,91.94,2.71,85.5,1.49,median(8) [E1+E2],89.0,3.06,median(8) [E1+E2],81.0,5.41,median(8) [E1+E2],91.5,1.85,median(8) [E1+E2],85.5,3.51,median(8) [E1+E2],80.0,2.42,median(8) [E1+E2]
1764,20,论选择性要素的认识错误,柏浪涛[1],法学研究,2022,刑法学,91.94,3.07,E1+E2,True,,9.8,2.77,7.03,12.3,4.5,6,6,,1,1,1,18,91.94,3.07,E1+E2,top60,1,18,91.94,3.07,88.0,4.75,median(8) [E1+E2],92.0,3.41,median(8) [E1+E2],88.0,2.7,median(8) [E1+E2],88.0,0.0,median(8) [E1+E2],86.5,3.91,median(8) [E1+E2],76.5,3.41,median(8) [E1+E2]
1194,21,从基本权理论看法律行为之阻却生效要件,,法学研究,2019,民商法学,91.88,3.69,E1+E2,True,,8.22,3.47,4.75,13.7,12.2,5,6,,1,1,1,20,91.88,3.69,E1+E2,top60,1,20,91.88,3.69,88.0,4.5,median(8) [E1+E2],85.5,2.25,median(8) [E1+E2],85.0,8.59,median(8) [E1+E2],88.0,1.46,median(8) [E1+E2],85.0,1.73,median(8) [E1+E2],80.0,2.76,median(8) [E1+E2]
1571,22,民法典中的动产和权利担保体系,龙俊[1],法学研究,2020,民商法学,91.88,7.09,E1+E2,True,,8.57,4.15,4.42,17.1,15.8,5,6,,1,1,1,21,91.88,7.09,E1+E2,top60,1,21,91.88,7.09,85.5,17.81,median(8) [E1+E2],85.5,3.85,median(8) [E1+E2],90.0,3.01,median(8) [E1+E2],88.0,1.06,median(8) [E1+E2],90.0,1.36,median(8) [E1+E2],81.0,3.51,median(8) [E1+E2]
