编号,期刊,年份,卷,期,题目,作者,作者机构,页数,原分类,专家分类,分类情形
1,中国法学,2025,000,2,AIGC版权判定的认知经济性分析,蒋舸[1],[1]清华大学法学院,21,知识产权法学,,
2,中国法学,2016,,2,APEC成员合作反腐司法一体化机制构建,楼伯坤,浙江工商大学法学院,20,国际法学,,
3,中国法学,2016,,5,CISG在中国国际商事仲裁中的适用,韩世远,清华大学法学院,21,国际法学,,
4,中国法学,2024,000,4,ESG对董事义务的改造：从商业判断到社会判断的进化,蒋大兴[1],[1]北京大学法学院,22,民商法学,,
5,中国法学,2017,,6,“一带一路”争端解决制度研究,王贵国,浙江大学,16,国际法学,,
6,中国法学,2017,,6,“一带一路”多元争端解决中心构建的当下与未来,初北平,大连海事大学法学院,19,国际法学,,
7,中国法学,2017,,6,“一带一路”建设与公司准据法的确定,邢钢,北京师范大学法学院,19,国际法学,,
8,中国法学,2019,,6,“一带一路”背景下铁路提单与铁路运单的协同创新机制,杨临萍[1],[1]重庆市高级人民法院,20,国际法学,,
9,中国法学,2023,000,6,“五湖四海”：政法系统干部交流机制的发生与形态,刘忠[1],[1]复旦大学法学院,19,宪法学与行政法学,,
10,中国法学,2018,,5,“人格物”的司法困境与理论突围,冷传莉,贵州大学法学院,19,民商法学,,
11,中国法学,2016,0,6,“以刑制罪”视阈下财产罪保护法益的再认识,徐光华,江西财经大学法学院,25,刑法学,,
12,中国法学,2023,000,4,“但书”出罪运行机制实证研究,夏伟[1],[1]中国政法大学刑事司法学院,23,刑法学,,
13,中国法学,2016,,5,“南海仲裁案”后续法律应对的关键问题研究,管建强,华东政法大学,21,国际法学,,
14,中国法学,2016,,5,“南海仲裁案”最终裁决研判与我国的对策,邹立刚,海南大学,6,国际法学,,
15,中国法学,2016,,5,“南海仲裁案”有关岛礁的裁决与法律和事实不符,吴慧,国际关系学院,6,国际法学,,
16,中国法学,2016,,5,“南海仲裁案”裁决缘何非法无效,马新民,外交部条约法律司,8,国际法学,,
17,中国法学,2016,0,1,“印证”证明模式反思与重塑：基于中国刑事错案的反思,左卫民,四川大学法学院,15,刑法学,,
18,中国法学,2017,,1,“合宪性解释”理论辨析及其可能前景,夏正林,华南理工大学法学院,15,诉讼法学,,
19,中国法学,2016,,3,“土地属于集体所有”的规范属性,刘连泰,厦门大学法学院,19,环境与资源保护法学,,
