期刊,年份,题目,作者,作者机构,新主分类,新主分类概率,新次分类,新次分类概率
中国法学,2019,“一带一路”背景下铁路提单与铁路运单的协同创新机制,杨临萍[1],[1]重庆市高级人民法院,民商法学,0.85,国际法学,0.15
中国法学,2022,上市公司虚假陈述行政处罚内部责任人认定逻辑之改进,邢会强[1],[1]中央财经大学法学院,经济法学,0.85,宪法学与行政法学,0.15
中国法学,2015,中国基本法文化的特征及其当代变迁,陈晓枫[1],[1]武汉大学法学院,法学理论,0.8,法律史,0.2
中国法学,2020,中国律例统编的传统与现代民法体系中的指导性案例,张生[1],[1]中国社会科学院法学研究所,法律史,0.85,民商法学,0.15
中国法学,2022,中国最高审判体制的刑民分立——传统与现代化,聂鑫[1],[1]清华大学法学院,法律史,0.85,诉讼法学,0.15
中国法学,2022,习近平法治思想中的构建新型诉讼格局理论,程琥[1],[1]北京市第一中级人民法院,法学理论,0.85,诉讼法学,0.15
中国法学,2015,互联网金融风险规制路径,"杨东[1,2]",[1]中国人民大学法学院;[2]中国人民大学民商事法律科学研究中心,民商法学,0.85,经济法学,0.15
中国法学,2016,刑事司法实证研究：以数据及其运用为中心的探讨,何挺,北京师范大学刑事法律科学研究院,诉讼法学,0.85,刑法学,0.1
中国法学,2024,刑事裁判中法律学说的运用困境及其解决路径,梁健[1],[1]浙江大学光华法学院,刑法学,0.85,法学理论,0.15
中国法学,2017,司法判决中的指导性案例,彭中礼,中南大学法学院,诉讼法学,0.85,法学理论,0.15
中国法学,2019,司法改革与法律职业激励环境的变化,吴洪淇[1],[1]中国政法大学证据科学教育部重点实验室,法学理论,0.85,诉讼法学,0.15
中国法学,2018,司法改革试点再认识：与实验研究方法的比较与启示,何挺,北京师范大学刑事法律科学研究院,诉讼法学,0.85,法学理论,0.15
中国法学,2022,境外追赃中犯罪资产分享制度研究,商浩文[1],[1]北京师范大学法学院暨刑事法律科学研究院,诉讼法学,0.85,,
中国法学,2025,宽容原则之上：法律解释与存疑有利于被告,郭烁[1],[1]中国政法大学诉讼法学研究院,刑法学,0.85,诉讼法学,0.15
中国法学,2019,我国《证券法》上证券概念的扩大及其边界,邢会强[1],[1]不详,民商法学,0.9,经济法学,0.1
中国法学,2018,我国电子商务法调整的社会关系范围,刘颖,暨南大学法学院,民商法学,0.85,经济法学,0.15
中国法学,2024,数字人身同一认定的技术力量与规制,李学军[1],[1]中国人民大学法学院,诉讼法学,0.85,法学理论,0.15
中国法学,2021,数据爬取的正当性及其边界,许可[1],[1]对外经济贸易大学法学院,民商法学,0.9,经济法学,0.1
中国法学,2015,标准必要专利反垄断诉讼问题研究,王晓晔,湖南大学法学院,知识产权法学,0.85,经济法学,0.1
中国法学,2023,民事案件事实形成中的方法论命题,王雷[1],[1]中国政法大学民商经济法学院,法学理论,0.85,诉讼法学,0.15
中国法学,2021,民法典意义的法理诠释,陈金钊,华东政法大学法律方法研究院,民商法学,0.85,法学理论,0.15
中国法学,2023,气候共同体责任分担的法理,徐祥民[1],[1]浙江工商大学,环境与资源保护法学,0.85,国际法学,0.15
中国法学,2022,法律规范体系化背景下的行政诉讼制度的完善,江必新[1],[1]湖南大学法学院,诉讼法学,0.85,宪法学与行政法学,0.15
中国法学,2018,环境监管中的“规范执行偏离效应”研究,曹炜[1],[1]中国人民大学法学院,宪法学与行政法学,0.85,环境与资源保护法学,0.15
中国法学,2018,破产程序中的税法问题研究,徐阳光,中国人民大学法学院,民商法学,0.8,经济法学,0.2
中国法学,2023,网络平台治理立法的反思与完善,张新平[1],[1]中南大学法学院,宪法学与行政法学,0.85,经济法学,0.15
中国法学,2016,舆论场内的司法自洽性研究：以李昌奎案的模拟实验分析为介质,"李奋飞[1,2]",[1]中国人民大学法学院;[2]中国人民大学刑事法律科学研究中心,诉讼法学,0.85,法学理论,0.15
中国法学,2022,行政诉讼司法建议的功能扩张及省思,王云霞[1],[1]浙江工商大学法学院,诉讼法学,0.85,宪法学与行政法学,0.15
中国法学,2023,行政违法性认识错误的性质与处理规则,马春晓[1],[1]南京大学法学院,刑法学,0.95,宪法学与行政法学,0.05
中国法学,2025,论人机协同审判的信任构建,衣俊霖[1],[1]上海交通大学凯原法学院,法学理论,0.85,诉讼法学,0.15
中国法学,2025,论公司法的宪法基础,陈嘉白[1],[1]清华大学法学院,宪法学与行政法学,0.85,民商法学,0.15
中国法学,2016,论国家所有权与行政权的关系,肖泽晟,南京大学法学院,民商法学,0.85,宪法学与行政法学,0.15
中国法学,2020,论我国“特定区域”法治先行,王春业[1],[1]河海大学法学院,法学理论,0.85,宪法学与行政法学,0.15
中国法学,2023,论涉案企业合规的全流程从宽,"李奋飞[1,2]",[1]中国人民大学法学院;[2]刑事法律科学研究中心,诉讼法学,0.85,刑法学,0.15
中国法学,2024,论证券监管介入上市公司治理的限度,吕成龙[1],[1]深圳大学法学院,民商法学,0.85,经济法学,0.15
中国法学,2024,赋能型人工智能治理的理念确立与机制构建,张吉豫[1],[1]中国人民大学法学院、未来法治研究院,宪法学与行政法学,0.85,法学理论,0.15
中国法学,2020,通过政策的司法治理,李红勃[1],[1]中国政法大学法治政府研究院,宪法学与行政法学,0.85,法学理论,0.15
中国社会科学,2022,“中国特色社会主义法治理论” 考,何勤华[1];周小凡[2],"[1]华东政法大学法律文明史研究院,上海200042;[2]上海交通大学凯原法学院,上海200030",法律史,0.9,法学理论,0.1
中国社会科学,2017,事权划分法治化的中国路径,刘剑文[1];侯卓[2],"[1]北京大学法学院、中国财税法治战略研究院,北京100871;[2]中南财经政法大学法学院,武汉430073",经济法学,0.85,宪法学与行政法学,0.15
中国社会科学,2015,互联网金融的法律规制——基于信息工具的视角,杨东[1],"[1]中国人民大学法学院、中国人民大学民商事法律科学研究中心,北京100872",民商法学,0.85,经济法学,0.15
中国社会科学,2016,人的尊严的法律属性辨析,胡玉鸿,"苏州大学王健法学院,苏州215006",法学理论,0.85,宪法学与行政法学,0.15
中国社会科学,2018,包容性法治框架下的社会组织治理,张清;武艳,"扬州大学法学院,扬州225009",法学理论,0.85,宪法学与行政法学,0.15
中国社会科学,2024,政府治理中社会整体利益的法治实现,冯辉[1],"[1]对外经济贸易大学法学院,北京100029",经济法学,0.85,宪法学与行政法学,0.15
中国社会科学,2024,知识产权法域外适用的制度构造,万勇[1],"[1]中国人民大学法学院,北京100872",知识产权法学,0.85,国际法学,0.15
中国社会科学,2021,网络空间安全立法的双重基础,张龑[1],"[1]中国人民大学法学院,北京100872",宪法学与行政法学,0.85,法学理论,0.15
中国社会科学,2025,论人权普遍性的相对性,毛俊响[1],"[1]中南大学人权研究中心,长沙410083",法学理论,0.85,宪法学与行政法学,0.15
中国社会科学,2019,论公安侦查权与行政权的衔接,张泽涛[1],"[1]广州大学法学院,广州510006",诉讼法学,0.8,宪法学与行政法学,0.15
中国社会科学,2017,论指导性案例的内容构成,朱芒,"上海交通大学凯原法学院,上海200030",诉讼法学,0.8,法学理论,0.2
中国社会科学,2022,论统筹推进国内法治和涉外法治,黄进[1],"[1]中国政法大学全面依法治国研究院,北京100088",法学理论,0.85,国际法学,0.15
法学研究,2025,互联网平台处罚权的法律规制,刘权[1],[1]中央财经大学“龙马学者”,经济法学,0.85,民商法学,0.15
法学研究,2022,以习近平法治思想引领行政审判制度新发展,章志远[1],[1]华东政法大学,诉讼法学,0.85,宪法学与行政法学,0.15
法学研究,2022,作为规范的技术标准及其与法律的关系,"陈伟[1,2]",[1]华东政法大学刑事法学院;[2]华东政法大学中国环境犯罪治理研究中心,刑法学,0.85,法学理论,0.15
