rank,pid,category,journal,year,title,author,institution,score,std,source,problem_originality_avg,problem_originality_std,literature_insight_avg,literature_insight_std,analytical_framework_avg,analytical_framework_std,logical_coherence_avg,logical_coherence_std,conclusion_consensus_avg,conclusion_consensus_std,forward_extension_avg,forward_extension_std
1,1510,民商法学,法学研究,2023,数字私力救济——基于远程控制网联物的权利实现,王琦,北京航空航天大学法学院,89.22,6.54,E1+E2+E3,92.0,15.12,90.0,3.2,88,3.78,88.0,1.77,89.5,1.31,77.5,6.3
2,1260,民商法学,法学研究,2020,公司决议瑕疵立法的范式转换与体系重构,丁勇,华东政法大学,88.62,2.78,E1+E2,86.5,2.38,92.0,3.59,92.5,2.38,88.0,3.02,89.0,2.76,78.0,2.14
3,1865,民商法学,法学研究,2025,股权转让中的出资义务承担——以组织法与行为法融贯为视角,李宇,浙江大学光华法学院,88.62,4.85,E1+E2+E3,87.0,8.14,92.5,2.72,85.5,6.25,91.0,2.23,89.0,3.38,82.0,2.9
4,1238,民商法学,法学研究,2024,债权人代位权的类型化构造,俞彦韬,华东政法大学,88.45,3.31,E1+E2+E3,87.0,4.08,88.0,4.65,89.0,1.91,92.0,2.51,90.0,2.5,80.0,2.33
5,1606,刑法学,法学研究,2016,法条竞合与想象竞合的区分,张明楷,清华大学法学院,88.2,3.13,E1+E2+E3,88.0,2.67,86.0,2.2,90.0,1.39,92.0,1.28,88.0,7.58,78.0,13.32
6,1764,刑法学,法学研究,2022,论选择性要素的认识错误,柏浪涛,华东师范大学法学院,88.08,2.87,E1+E2+E3,88.0,4.08,92.0,3.41,88.0,2.7,88.0,0.0,86.5,3.91,76.5,3.41
7,1337,刑法学,法学研究,2018,受贿犯罪的保护法益,张明楷,清华大学法学院,88.03,3.45,E1+E2+E3,88.0,5.08,90.0,1.91,86.5,3.89,90.0,2.5,90.5,1.69,72.0,5.87
8,1574,民商法学,法学研究,2022,民法典所有权保留之担保权构成,纪海龙,北京大学法学院,87.97,5.86,E1+E2+E3,90.0,11.52,88.0,3.59,85.5,2.1,90.0,2.64,87.0,2.51,77.0,11.75
9,956,法学理论,中国社会科学,2015,公序良俗原则与诚实信用原则的区分,于飞,"中国政法大学民商经济法学院,北京100088",87.88,3.09,E1+E2+E3,88.0,2.56,88.5,3.68,87.5,5.09,89.5,1.69,90.0,1.28,75.0,7.04
10,1824,知识产权法学,法学研究,2025,集体商标和证明商标保护体系的重构,王迁,华东政法大学,87.8,2.94,E1+E2,87.0,1.39,89.0,3.66,88.0,6.36,88.0,2.83,89.0,1.77,84.0,1.92
11,1710,民商法学,法学研究,2024,董事间披露义务的法律构造,袁崇霖,清华大学法学院,87.75,3.55,E1+E2+E3,86.5,3.24,88.0,3.66,92.0,3.76,89.0,1.85,87.0,2.51,78.0,13.23
12,1711,民商法学,法学研究,2023,虚假陈述比例连带责任的认定模式与体系展开,邹学庚,中国政法大学民商经济法学院,87.75,3.93,E1+E2+E3,90.0,3.73,87.5,4.17,85.0,3.51,89.0,3.81,88.0,1.51,78.0,10.83
13,1307,刑法学,法学研究,2020,刑民交叉实体问题的解决路径——“法律效果论”之展开,陈少青,对外经济贸易大学法学院,87.7,3.31,E1+E2+E3,90.0,3.29,83.5,2.56,87.0,4.96,92.0,2.14,88.0,2.78,75,7.16
14,1428,诉讼法学,法学研究,2025,实体性查封优先权的理论证成及体系展开,马强伟,上海财经大学法学院,87.7,2.58,E1+E2+E3,85.0,1.36,88.0,3.07,92.0,5.42,88,2.15,90.0,2.07,84.0,2.23
15,1615,法学理论,法学研究,2019,注意义务的规范本质与判断标准,陈璇,中国人民大学刑事法律科学研究中心,87.7,5.8,E1+E2+E3,88.0,10.39,88.0,6.07,87.0,2.9,90.0,2.56,89.0,2.14,75.0,6.18
16,319,民商法学,中国法学,2023,基本权利私人间效力法理基础的澄清与重构,杨登杰,北京航空航天大学法学院,87.67,8.84,E1+E2+E3,89.5,18.72,88.0,2.92,82.5,12.74,90.0,1.85,88.0,1.89,81.0,3.42
17,101,刑法学,中国法学,2024,中国特色反腐败制度框架下贿赂犯罪法益的确定,陈金林,武汉大学法学院,87.67,4.74,E1+E2+E3,88.0,5.98,88.0,3.33,87.0,2.76,90.0,4.24,88.0,8.66,76.5,3.12
18,1779,刑法学,法学研究,2024,财产犯罪中财产性利益的事实占有：以存款债权为中心,徐凌波,南京大学法学院,87.67,4.27,E1+E2+E3,88.0,5.73,89.0,3.14,89.0,3.88,89.0,2.27,87.0,6.27,72.5,5.22
